d,h,hdo,den,num,dhdo,loghdo
15.9,12.8,14.1,2200,0.170619833,224.19,2.646174797
9.3,10.3,15,1956,0.025573663,139.5,2.708050201
22.7,14.6,20.1,733,0.798771163,456.27,3.000719815
18.5,14.7,17.1,1411,0.233836162,316.35,2.839078464
3.8,4.5,16.2,1478,0.730150393,61.56,2.785011242
8.6,12.9,14.1,2200,0.536108533,121.26,2.646174797
28,16.8,11.8,1600,0.195917676,330.4,2.468099531
4.8,2.3,15.7,656,0.938061097,75.36,2.753660712
18.4,16.5,20.3,800,0.353300387,373.52,3.010620886
17.7,14.3,20.3,800,0.314889682,359.31,3.010620886
13.1,4.7,13,1511,0.157138146,170.3,2.564949357
7,10.4,17.2,1778,0.749741619,120.4,2.844909384
3.7,3.8,11.8,1600,0.490931938,43.66,2.468099531
2.7,4.3,15,1956,0.252454565,40.5,2.708050201
16.6,11.5,22.8,956,0.647287244,378.48,3.126760536
4.8,3.5,16.2,1478,0.053248983,77.76,2.785011242
6.4,7.1,13,1511,0.47654933,83.2,2.564949357
16.6,11.7,17.2,1778,0.945587106,285.52,2.844909384
6.7,11.2,21,922,0.737331085,140.7,3.044522438
17.6,15.7,16.4,1844,0.788894773,288.64,2.797281335
23.1,13.5,17.1,1411,0.703300094,395.01,2.839078464
9.3,7.4,22.8,956,0.173761824,212.04,3.126760536
6.8,7.4,15.4,967,0.906500199,104.72,2.734367509
11.1,9,16.7,1067,0.712282663,185.37,2.815408719
6.2,5.2,11.8,1600,0.634500481,73.16,2.468099531
13.1,10.1,16.6,1467,0.848962399,217.46,2.809402695
22.8,12.7,15.4,1033,0.723001803,351.12,2.734367509
12,9.5,15.4,1033,0.717835492,184.8,2.734367509
23.1,13.9,16.7,1067,0.721016323,385.77,2.815408719
23.3,16.8,20.5,722,0.522081504,477.65,3.020424886
21.9,18.5,19.6,789,0.777770026,429.24,2.975529566
6.8,4.2,14.9,1222,0.510318318,101.32,2.701361213
9.8,11.2,15,1956,0.21189525,147,2.708050201
3.1,5.4,15,1956,0.043213401,46.5,2.708050201
6.9,5.9,16.6,1467,0.863764832,114.54,2.809402695
3.4,3.3,14.9,1222,0.571314452,50.66,2.701361213
20.5,11.7,14.9,1222,0.201406515,305.45,2.701361213
20,13.9,16.4,1844,0.7282551,328,2.797281335
4,3.4,21,922,0.885362707,84,3.044522438
7,7.8,18.7,844,0.620876594,130.9,2.928523524
17.1,5.7,22.8,956,0.244703761,389.88,3.126760536
6.6,8.4,17.2,1778,0.740284504,113.52,2.844909384
4.3,4.6,16.2,1478,0.768470069,69.66,2.785011242
4.7,4.9,11.8,1600,0.956874572,55.46,2.468099531
37.9,16.7,20.5,722,0.833685842,776.95,3.020424886
4.8,7.2,11.8,1600,0.874907036,56.64,2.468099531
3.8,4.3,11.8,1600,0.243548828,44.84,2.468099531
21.7,16.1,15.7,656,0.461206536,340.69,2.753660712
23,13.2,15.4,1033,0.529360384,354.2,2.734367509
13.3,6.4,17.2,1778,0.637047493,228.76,2.844909384
14.1,12.2,17.2,1778,0.161953233,242.52,2.844909384
19.4,11.2,13,1511,0.506490562,252.2,2.564949357
11.5,7.9,20.5,722,0.815357697,235.75,3.020424886
3.2,5,9.7,1644,0.320993138,31.04,2.272125886
13.2,16.6,17.2,1778,0.140755534,227.04,2.844909384
16.4,14.4,17.2,1778,0.433532356,282.08,2.844909384
2.8,2.8,13,1511,0.831167708,36.4,2.564949357
5.8,3.7,13,1511,0.146612443,75.4,2.564949357
18.1,9.2,13,1511,0.618631286,235.3,2.564949357
8.2,8.7,17.1,1411,0.589973197,140.22,2.839078464
26.9,13.8,20.5,722,0.403821042,551.45,3.020424886
10.8,7,15,1956,0.877866221,162,2.708050201
10.5,13.4,17.2,1778,0.078811704,180.6,2.844909384
23.1,15.5,20.1,733,0.10418022,464.31,3.000719815
6.6,4.8,13,1511,0.442321254,85.8,2.564949357
8.6,10.4,17.2,1778,0.746503289,147.92,2.844909384
26.2,13.6,16.5,589,0.583128068,432.3,2.803360381
10.6,7.8,16.6,1467,0.635976103,175.96,2.809402695
10.4,7.8,16.4,1844,0.897933393,170.56,2.797281335
20.1,11,22.8,956,0.199052121,458.28,3.126760536
13.3,9.1,17.1,1411,0.205254694,227.43,2.839078464
18.7,11.1,16.5,589,0.575071411,308.55,2.803360381
22,14.8,15,1956,0.431286889,330,2.708050201
23.1,11.9,15.7,1022,0.113407476,362.67,2.753660712
8.6,11.7,17.2,1778,0.859968452,147.92,2.844909384
6.5,6.2,11.8,1600,0.278307807,76.7,2.468099531
4,3.7,18.7,844,0.01621922,74.8,2.928523524
6.7,13.7,14.1,2200,0.854282499,94.47,2.646174797
3.2,4.4,9.7,1644,0.706616342,31.04,2.272125886
26.6,10.2,20.1,733,0.654074691,534.66,3.000719815
10.7,9.9,16.4,1844,0.10299498,175.48,2.797281335
18.6,12.9,19.6,789,0.822761911,364.56,2.975529566
8.9,8.7,15,1956,0.338076185,133.5,2.708050201
17.7,19,20.3,800,0.627009482,359.31,3.010620886
6.9,9.8,17.2,1778,0.964218425,118.68,2.844909384
4.6,4.9,13,1511,0.264822487,59.8,2.564949357
11.4,15.4,16.7,1067,0.264903606,190.38,2.815408719
15.6,12.5,17.2,1778,0.779459692,268.32,2.844909384
14.1,12.3,17.2,1778,0.803712765,242.52,2.844909384
15.6,13.5,21,922,0.718805607,327.6,3.044522438
18.6,11.6,16.9,1733,0.395812364,314.34,2.827313622
28.8,13.1,16.2,1478,0.210186586,466.56,2.785011242
7.9,3.4,13,1511,0.117234998,102.7,2.564949357
10.4,5.4,15,1956,0.755681675,156,2.708050201
16.2,15.3,16.7,1067,0.411797559,270.54,2.815408719
18.5,16.1,16.5,589,0.824662327,305.25,2.803360381
13.3,9.9,16.7,1067,0.210791059,222.11,2.815408719
15.3,12.3,17.2,1778,0.087185205,263.16,2.844909384
31.4,20.4,20.1,733,0.972616281,631.14,3.000719815
23.2,11.3,15.4,967,0.933432507,357.28,2.734367509
15.6,10,16.4,1844,0.766877079,255.84,2.797281335
9.7,10.1,15,1956,0.015146078,145.5,2.708050201
3.6,4,9.7,1644,0.489562495,34.92,2.272125886
8.9,6.6,17.1,1411,0.775656434,152.19,2.839078464
18.6,9.8,14.9,1222,0.923716132,277.14,2.701361213
19.4,14.9,16.7,1067,0.641804221,323.98,2.815408719
8.5,10.1,17.2,1778,0.844293925,146.2,2.844909384
14.5,23.4,22.8,956,0.683310137,330.6,3.126760536
23.8,13.8,20.3,800,0.965679775,483.14,3.010620886
6.2,4.9,14.9,1222,0.102925719,92.38,2.701361213
23.6,13.4,15.7,1022,0.94914258,370.52,2.753660712
10,7.3,18.7,844,0.403059291,187,2.928523524
10.5,12.2,18.7,844,0.698142891,196.35,2.928523524
6.2,4.7,14.9,1222,0.476784496,92.38,2.701361213
10.3,10.3,17.1,1411,0.507626648,176.13,2.839078464
4.7,5.3,15,1956,0.058682252,70.5,2.708050201
7,8.4,14.1,2200,0.659195414,98.7,2.646174797
16.3,12.2,12.9,633,0.232117017,210.27,2.557227311
17.2,12.7,18.7,844,0.257081174,321.64,2.928523524
5.4,12.1,14.1,2200,0.456300292,76.14,2.646174797
12.3,9.4,16.9,1733,0.344793242,207.87,2.827313622
18.6,11.9,12.9,633,0.109651947,239.94,2.557227311
16.4,13.4,22.8,956,0.846435366,373.92,3.126760536
9.7,9,17.2,1778,0.669994667,166.84,2.844909384
21.3,9.7,13,1511,0.12665888,276.9,2.564949357
6.2,10.2,11.8,1600,0.661218589,73.16,2.468099531
15.2,12.5,16.7,1067,0.602394628,253.84,2.815408719
16.3,10.6,18.7,844,0.635625565,304.81,2.928523524
15.2,12.5,16.9,1733,0.260974288,256.88,2.827313622
22.5,13.5,16.9,1733,0.510520032,380.25,2.827313622
14.9,9,12.9,633,0.543129654,192.21,2.557227311
11.6,15.6,17.2,1778,0.927210532,199.52,2.844909384
6.8,5.2,18.7,844,0.094259565,127.16,2.928523524
18.8,15,20.3,800,0.139625685,381.64,3.010620886
17.2,9.4,15.1,489,0.108827294,259.72,2.714694744
15.9,10.9,15.4,1033,0.307210324,244.86,2.734367509
9.4,7.4,17.2,1778,0.587241552,161.68,2.844909384
8.7,7.3,13.2,2122,0.86134475,114.84,2.58021683
15.6,8.6,15.4,967,0.314663358,240.24,2.734367509
9.6,6.5,15,1956,0.740808238,144,2.708050201
8.8,6.1,15.4,1033,0.459929358,135.52,2.734367509
5,4,16.2,1478,0.58953682,81,2.785011242
22.6,11.9,15.4,967,0.086134589,348.04,2.734367509
4.1,4.1,16.2,1478,0.877112723,66.42,2.785011242
5,5.4,11.8,1600,0.244403058,59,2.468099531
6.1,4.4,14.9,1222,0.807773639,90.89,2.701361213
12.2,8.3,16.9,1733,0.059006204,206.18,2.827313622
18.9,7.8,15.4,967,0.126688359,291.06,2.734367509
10.8,13.3,16.6,1656,0.936767128,179.28,2.809402695
4.3,4.7,13.2,2122,0.161040117,56.76,2.58021683
32.9,22.1,20.1,733,0.622666023,661.29,3.000719815
20.1,9.2,16.5,589,0.06244448,331.65,2.803360381
12.6,12.7,14.1,2200,0.880280976,177.66,2.646174797
7.7,5.6,16.6,1467,0.03885747,127.82,2.809402695
20.8,9.2,16.9,1733,0.681153753,351.52,2.827313622
19.1,15.1,16.6,1467,0.387112773,317.06,2.809402695
26.2,13.4,15.4,967,0.499508586,403.48,2.734367509
9.4,8.2,20.1,733,0.756310456,188.94,3.000719815
15.6,16.3,16.6,1467,0.346874209,258.96,2.809402695
15.7,10.3,16.4,1844,0.3077332,257.48,2.797281335
10.9,11.9,14.1,2200,0.536340715,153.69,2.646174797
7.6,4,22.8,956,0.617565023,173.28,3.126760536
7.1,9.2,16.9,1733,0.804687209,119.99,2.827313622
10.1,6.4,15.8,1522,0.012553152,159.58,2.76000994
3.5,4.2,16.2,1478,0.443376021,56.7,2.785011242
17,11.9,16.4,1844,0.011033435,278.8,2.797281335
22.7,14.4,15.7,656,0.92457671,356.39,2.753660712
18.2,14.7,16.5,589,0.247205378,300.3,2.803360381
21.8,10,14.9,1222,0.971876084,324.82,2.701361213
13.9,8.8,17.2,1778,0.098631013,239.08,2.844909384
8.8,8.7,16.5,589,0.123101815,145.2,2.803360381
8.2,10.1,22.8,956,0.551405799,186.96,3.126760536
8.9,4.2,13,1511,0.834195661,115.7,2.564949357
23.9,15.8,20.1,733,0.260395716,480.39,3.000719815
8.6,6,17.7,644,0.672058329,152.22,2.87356464
2.6,2.7,16.2,1478,0.26826471,42.12,2.785011242
17.3,9.6,22.8,956,0.712229236,394.44,3.126760536
4,3.9,16.2,1478,0.069169812,64.8,2.785011242
14.4,14,16.6,1656,0.732049913,239.04,2.809402695
13.7,15.6,17.2,1778,0.707701858,235.64,2.844909384
25.1,12.7,20.5,722,0.187936269,514.55,3.020424886
4,2.7,13,1511,0.70117593,52,2.564949357
13.3,19.3,21,922,0.243593526,279.3,3.044522438
8.1,9.4,15.7,1022,0.874701988,127.17,2.753660712
9.4,12.4,14.1,2200,0.310014794,132.54,2.646174797
18.4,12.4,14.9,1222,0.199178411,274.16,2.701361213
10.5,12.8,16.7,1067,0.23884392,175.35,2.815408719
24.5,14,15.4,967,0.053455664,377.3,2.734367509
6.3,6.9,15.8,1522,0.745379878,99.54,2.76000994
3.1,2.8,15.7,656,0.832638879,48.67,2.753660712
23.9,20.4,20.1,733,0.165028838,480.39,3.000719815
7.6,6.6,16.9,1733,0.929005644,128.44,2.827313622
18.2,11.4,13,1511,0.075249713,236.6,2.564949357
8.7,11.6,14.1,2200,0.229350818,122.67,2.646174797
12.8,6.7,13,1511,0.471031514,166.4,2.564949357
9.6,9.5,16.9,1733,0.553827819,162.24,2.827313622
22.1,9.8,12.9,633,0.290455216,285.09,2.557227311
23.3,17.1,20.3,800,0.533193661,472.99,3.010620886
19.5,10.9,15.4,1033,0.972181661,300.3,2.734367509
9.7,9.5,15,1956,0.904323978,145.5,2.708050201
21.4,14.9,15.4,1033,0.992568837,329.56,2.734367509
20.7,8.9,19.6,789,0.606471995,405.72,2.975529566
12.6,12.1,13,1511,0.29399189,163.8,2.564949357
9.4,7.7,19.6,789,0.919174098,184.24,2.975529566
26.2,18.4,20.1,733,0.882828073,526.62,3.000719815
11,12.6,17.2,1778,0.492503169,189.2,2.844909384
9.5,8.4,17.2,1778,0.204476397,163.4,2.844909384
19.4,10.4,15.7,656,0.656592086,304.58,2.753660712
19.2,15.7,16.6,1467,0.966666221,318.72,2.809402695
5.9,8.6,14.1,2200,0.219570805,83.19,2.646174797
21.3,13,18.1,556,0.743770363,385.53,2.895911938
11.2,10.2,15.4,967,0.09544814,172.48,2.734367509
25.6,17.9,16.7,1067,0.963066763,427.52,2.815408719
24.8,12.8,15,1956,0.695182165,372,2.708050201
3.7,4,9.7,1644,0.501370677,35.89,2.272125886
11.4,9.6,14.1,2200,0.448294882,160.74,2.646174797
18.4,9.5,16.2,1478,0.546603134,298.08,2.785011242
18,15.8,16.4,1844,0.627017291,295.2,2.797281335
2.6,4.7,10.1,1522,0.155117098,26.26,2.312535424
5.7,4,18.7,844,0.540665812,106.59,2.928523524
3.5,3.7,13,1511,0.142792531,45.5,2.564949357
5.2,12.7,14.1,2200,0.854467031,73.32,2.646174797
15.2,15.1,21,922,0.407042708,319.2,3.044522438
9.7,10.9,14.1,2200,0.503098217,136.77,2.646174797
7.3,7.8,15,1956,0.073362959,109.5,2.708050201
5.2,5.2,13,1511,0.62644303,67.6,2.564949357
17.2,12.8,14.9,1222,0.19761448,256.28,2.701361213
12.5,17.3,22.8,956,0.371423495,285,3.126760536
3.7,4.2,11.8,1600,0.509387944,43.66,2.468099531
12.8,7.8,15.7,1022,0.381965585,200.96,2.753660712
6,8.6,17.2,1778,0.780036683,103.2,2.844909384
8.1,8.6,14.1,2200,0.616767554,114.21,2.646174797
16.4,13.1,16.5,589,0.93809418,270.6,2.803360381
5.4,4.6,16.7,1067,0.88446797,90.18,2.815408719
4.2,4.5,11.8,1600,0.330123434,49.56,2.468099531
13.7,13.4,16.9,1733,0.987547078,231.53,2.827313622
12.5,9,17.2,1778,0.813105707,215,2.844909384
9.9,7.1,21.2,967,0.613360506,209.88,3.054001182
23.1,10.8,15.4,967,0.866136006,355.74,2.734367509
12.2,12.7,14.1,2200,0.66597383,172.02,2.646174797
6.4,5.5,16.2,1478,0.91670388,103.68,2.785011242
24.7,11.5,16.7,1067,0.337819257,412.49,2.815408719
3.8,3.4,13,1511,0.608993253,49.4,2.564949357
3.5,4.4,7.2,1733,0.892414556,25.2,1.974081026
9.1,9.7,16.6,1656,0.43593306,151.06,2.809402695
4.7,5.7,11.8,1600,0.040062341,55.46,2.468099531
10.7,10.5,15,1956,0.492152454,160.5,2.708050201
3,3.2,15,1956,0.345426125,45,2.708050201
5.2,2.9,15,1956,0.221703387,78,2.708050201
20.2,11.6,16.9,1733,0.839234405,341.38,2.827313622
21.1,11.2,20.1,733,0.341880423,424.11,3.000719815
8.4,10.9,14.1,2200,0.719328458,118.44,2.646174797
18.7,9.5,14.9,1222,0.098570022,278.63,2.701361213
6.1,5.9,16.2,1478,0.712763999,98.82,2.785011242
13.6,13.6,15.4,967,0.455669181,209.44,2.734367509
22.5,13.5,21,922,0.696993391,472.5,3.044522438
7.2,9.3,17.1,1411,0.552932008,123.12,2.839078464
9.5,4.7,15.4,1033,0.061719482,146.3,2.734367509
4.1,4.6,17.7,644,0.086566154,72.57,2.87356464
17.4,12.9,15.4,967,0.47692931,267.96,2.734367509
3.3,4.2,11.8,1600,0.903719548,38.94,2.468099531
11.4,8.8,16.4,1844,0.462630284,186.96,2.797281335
15.1,13.7,16.6,1656,0.885964912,250.66,2.809402695
19.8,12.1,20.3,800,0.449221231,401.94,3.010620886
12.1,9.7,19.6,789,0.744762235,237.16,2.975529566
13.1,12,16.9,1733,0.409540308,221.39,2.827313622
20.6,7.9,13,1511,0.401750528,267.8,2.564949357
2.9,3.5,16.2,1478,0.457243118,46.98,2.785011242
22.3,10.8,14.6,789,0.304527056,325.58,2.681021529
4.3,4.6,15,1956,0.184295922,64.5,2.708050201
19.6,18.8,22.8,956,0.633779893,446.88,3.126760536
5.6,5.4,20.5,722,0.98292832,114.8,3.020424886
16.6,12.4,14.1,2200,0.46410601,234.06,2.646174797
25.2,15,14.9,1222,0.589433598,375.48,2.701361213
6.1,5.9,16.6,1467,0.509349198,101.26,2.809402695
19.1,11.1,16.4,1844,0.21456869,313.24,2.797281335
5.4,7.3,16.6,1467,0.882689767,89.64,2.809402695
23.8,12.7,15.7,1022,0.988510335,373.66,2.753660712
14.6,10,14.1,2200,0.970622932,205.86,2.646174797
20.3,13.4,15.4,967,0.816282651,312.62,2.734367509
13.6,11.1,16.9,1733,0.205460097,229.84,2.827313622
8.6,8,17.2,1778,0.154225916,147.92,2.844909384
15,9.9,12.9,633,0.745905209,193.5,2.557227311
18,14.9,15.4,967,0.238189525,277.2,2.734367509
5.2,4.4,13,1511,0.621971331,67.6,2.564949357
13.9,12,16.9,1733,0.837947337,234.91,2.827313622
13.6,10.1,13,1511,0.427901678,176.8,2.564949357
14.5,9.7,14.9,1222,0.253949679,216.05,2.701361213
16.4,9.4,15.7,656,0.217687726,257.48,2.753660712
16.8,13.6,17.2,1778,0.104497028,288.96,2.844909384
11.6,10.1,14.1,2200,0.908285963,163.56,2.646174797
15.2,12.8,15.7,656,0.470998807,238.64,2.753660712
8.6,8.6,14.1,2200,0.877077089,121.26,2.646174797
5.8,5.2,13,1511,0.608825011,75.4,2.564949357
22.4,10.1,15.1,1067,0.273702607,338.24,2.714694744
8.9,14,17.2,1778,0.713059857,153.08,2.844909384
12.6,8.5,21.2,967,0.129021637,267.12,3.054001182
17,10.6,15.4,1033,0.935831713,261.8,2.734367509
10.2,10.4,14.1,2200,0.626452098,143.82,2.646174797
14.3,10.2,19.6,789,0.976115605,280.28,2.975529566
5.6,7.6,16.9,1733,0.54877204,94.64,2.827313622
11.2,11.2,19.6,789,0.540298018,219.52,2.975529566
2.7,3.5,16.2,1478,0.885660765,43.74,2.785011242
5.8,6,15,1956,0.534816206,87,2.708050201
10.5,10.9,16.4,1844,0.898197487,172.2,2.797281335
10.6,5,18.1,556,0.20967287,191.86,2.895911938
2.8,4.1,11.8,1600,0.500618256,33.04,2.468099531
22.2,18,21,922,0.049697875,466.2,3.044522438
20.2,14.9,15,1956,0.882313801,303,2.708050201
16.2,13.9,15.7,1022,0.705627778,254.34,2.753660712
16.2,11.5,16.7,1067,0.651531319,270.54,2.815408719
13.5,10.8,14.1,2200,0.705224661,190.35,2.646174797
26.8,11.4,18.1,556,0.490484585,485.08,2.895911938
7.1,8.4,17.2,1778,0.157844848,122.12,2.844909384
30,14.7,18.7,844,0.87455198,561,2.928523524
4.5,4.3,11.8,1600,0.624732229,53.1,2.468099531
11.5,8.5,20.3,800,0.908710396,233.45,3.010620886
12.9,10.3,13,1511,0.075026409,167.7,2.564949357
22.1,13.4,19.6,789,0.087550915,433.16,2.975529566
18.2,12.2,17.1,1411,0.883178207,311.22,2.839078464
11.3,10.1,16.4,1844,0.44269645,185.32,2.797281335
11.9,10.7,14.9,1222,0.661689312,177.31,2.701361213
15.1,10.5,19.6,789,0.037991193,295.96,2.975529566
25.1,14.5,15.7,1022,0.214126622,394.07,2.753660712
6.2,4.6,11.8,1600,0.773308476,73.16,2.468099531
9.4,9.6,14.9,1222,0.94636136,140.06,2.701361213
18.5,10.1,16.7,1067,0.59547227,308.95,2.815408719
3.7,4.4,9.7,1644,0.906832233,35.89,2.272125886
16,12.8,16.6,1467,0.45150885,265.6,2.809402695
10.7,14,17.2,1778,0.897048397,184.04,2.844909384
4,5,11.8,1600,0.742192525,47.2,2.468099531
