"Plot","H"
"yd15",7.21
"yd15",14.85
"yd15",15.24
"yd15",13.89
"yd15",6.89
"yd15",14.87
"yd15",12.12
"yd15",8.03
"yd15",7.29
"yd16",13.55
"yd16",20.9
"yd16",12.59
"yd16",20.98
"yd16",16.89
"yd16",15.56
"yd16",14.08
"yd16",14.48
"yd16",16.34
"yd16",22.43
"yd16",16.88
"yd16",15.52
"yd16",17.65
"yd16",17.23
"yd16",21.52
"yd16",19.98
