d,h,hdo,den,num,dhdo
14.4,6.5,10.1,1522,0.7,145.44
16.3,13.5,18.8,1233,0.7,306.44
17,15.1,17.7,2278,0.1,300.9
23.1,18.8,21.5,1667,0,496.65
23.3,14.5,16.5,1356,0.1,384.45
11.2,11.9,14.4,1689,0.4,161.28
6,4.9,17.7,2278,0.3,106.2
25.7,13.8,16.3,1556,0.5,418.91
14.3,13.6,15.1,1656,0.5,215.93
2.2,2.1,6.8,767,0.2,14.96
10.3,6.3,6.9,1356,0.5,71.07
17,10.8,13.4,778,0.5,227.8
8.4,5.8,9.7,1644,0.2,81.48
7.3,6,7.1,1044,0.4,51.83
9.3,8.2,13.1,811,0.3,121.83
11.5,12.5,17.7,2278,0.6,203.55
15.5,8.5,14.6,789,0.9,226.3
7.5,5.7,5.7,533,0.6,42.75
7.7,3.8,6,1322,0,46.2
18.9,17.3,20.3,1011,0.3,383.67
12.5,17,21.5,1667,1,268.75
12.8,11,18.8,1233,0.8,240.64
10.3,6.6,15.7,422,0.9,161.71
8.7,6.5,13.2,2122,0.2,114.84
18.3,14.8,14.8,1022,0,270.84
20.1,13.7,16.3,1556,0.8,327.63
11.6,12.9,17.7,2278,1,205.32
12.1,5.7,10.1,1522,0.6,122.21
22.2,15,14.8,1022,0,328.56
8.7,4.8,6.4,911,0.7,55.68
13.6,11.1,16.2,1156,0.6,220.32
6.2,5.4,6.9,1356,0.9,42.78
19.1,13.8,14.4,1689,0.9,275.04
16.1,11.8,14.5,978,0.4,233.45
21.5,12.7,14.8,1967,0.6,318.2
16.9,14,15.1,1656,0.8,255.19
11.5,13.2,15.8,1522,0.2,181.7
20.8,16,16.3,1556,0.2,339.04
26.4,17.3,22.4,867,0.7,591.36
28,15.9,17.7,889,0.6,495.6
16.5,12.6,15.1,1656,0.3,249.15
12.4,9.7,14,2333,1,173.6
7.3,4.7,5.7,533,0.9,41.61
15.2,12.5,14.8,1022,0.6,224.96
15.2,10.9,14.6,789,0.9,221.92
21,13.7,17.3,1122,0.8,363.3
17.2,14.4,16.6,1656,0.5,285.52
14.3,10.2,19.6,789,0.3,280.28
4,3.2,5.4,1133,0.2,21.6
14.2,13.3,17.7,2278,0.8,251.34
21.6,13.5,13.9,767,0.5,300.24
11.5,8.9,14,2333,0.8,161
19.4,17.1,21.2,967,0.9,411.28
25.6,18.4,20.3,1011,0.2,519.68
11.3,12.5,15.1,1656,0.8,170.63
12.3,7.5,14,2333,0.5,172.2
22.7,18.1,20.3,1011,0.2,460.81
22.2,10.5,14.6,789,0.7,324.12
19.2,13.3,15.1,589,0.3,289.92
20.6,18,21.2,967,0.1,436.72
9.9,6.3,7.1,1044,0.3,70.29
10.7,11.2,13.2,2122,0.9,141.24
18.4,13.2,14.8,1022,0.6,272.32
14.3,9.5,13.1,811,0.9,187.33
12.9,9.9,17.7,2278,0.2,228.33
2.7,4.8,6.1,722,0.2,16.47
5.1,3,6.1,722,0.2,31.11
12.3,13.4,16.3,1556,0.2,200.49
24.6,16.7,17.7,889,0.6,435.42
8.6,5.2,10.1,1522,0.3,86.86
14.6,8.4,13.2,2122,0.6,192.72
9.4,8,10.4,500,0.8,97.76
13.4,11.8,16.2,1678,0.2,217.08
5.3,3.4,6,1322,0.8,31.8
13.6,11.5,16.1,1656,0.7,218.96
14.6,9.7,14,2333,0.1,204.4
19,14.2,16.3,1556,0.1,309.7
14.2,10.8,16.2,1678,0.7,230.04
12.5,11.2,16.1,1656,0.9,201.25
20.5,15.4,21.5,1667,0.5,440.75
7.5,5.9,7.2,1733,0.9,54
4.3,5.2,10.1,1522,0.9,43.43
11.8,11,13.2,2122,0.1,155.76
7.1,5.4,15.1,1411,0.7,107.21
22.1,13.5,17.3,1122,0.6,382.33
6.4,3.7,6.1,722,0.4,39.04
16,13,15.1,1067,0.2,241.6
13.1,11,16.6,1656,0.2,217.46
14.1,12.2,14.4,1689,0.3,203.04
17.6,15,18.8,1233,0.4,330.88
14.3,12.2,16.1,1656,0.5,230.23
6.6,5.6,6,1322,0.5,39.6
4,6.5,15.8,1522,0.6,63.2
3.5,2.4,5.4,1133,0.9,18.9
27.8,14.2,17.7,889,0.3,492.06
22.1,15.4,16.3,1556,0.9,360.23
4.4,2.2,4.9,689,0.8,21.56
14,11.8,16.2,1156,0.5,226.8
4.1,3.7,7.8,989,0.4,31.98
14.4,12.3,14,2333,0.5,201.6
20.2,14.4,16.3,1556,0.5,329.26
7.2,5.1,5.7,533,0.8,41.04
6.2,5.6,7.2,1733,0,44.64
6.8,3.8,6.1,722,0.9,41.48
22,17.2,21.2,967,0.3,466.4
27.2,12,14.8,1022,0.5,402.56
5.6,6.2,10.1,1522,0.5,56.56
5.9,4.3,5.4,1133,0.8,31.86
15,13.7,17.7,2278,0.8,265.5
12.9,7.7,9.7,1644,0.6,125.13
14,14.9,20.3,1011,0.3,284.2
8.5,5.4,6.9,1356,0.7,58.65
19.8,15.8,17.7,2278,0,350.46
10,5.9,16.5,1356,0.6,165
13.5,9.5,13.1,811,0.1,176.85
20.1,14.2,16.5,1356,0.6,331.65
29,19.3,21.2,967,1,614.8
15.1,11.4,14.4,1689,0.3,217.44
12.5,10.8,16.1,1656,0.1,201.25
21.1,19.7,21.2,967,0.7,447.32
15.8,12.3,14.4,1689,0.4,227.52
16.9,10.1,14.8,1967,0.3,250.12
8.8,10.5,14.8,1967,0.6,130.24
3.2,3.6,7.2,1733,0.9,23.04
16.7,14.9,16.6,1467,0.7,277.22
7.5,5.8,7.1,1044,0.4,53.25
18.2,10.9,16.1,689,0.9,293.02
6.4,5.8,7.2,1733,0.9,46.08
14.9,19.7,20.3,1011,0.9,302.47
2.5,3,6.9,1356,0.6,17.25
6.8,3,6,1322,0.1,40.8
18.2,9.9,15,1956,0.7,273
18.7,14.8,15.1,1656,0.9,282.37
16.6,15,17.7,2278,0.8,293.82
21.7,14.1,16.1,689,0.8,349.37
19.5,16,16.5,1356,0.4,321.75
19.1,13,15.1,1656,0.6,288.41
14.3,13.3,15.1,1411,0.3,215.93
14.7,13.9,20.3,1011,0.4,298.41
9,6,6.9,1356,0.6,62.1
18.2,17.4,15.8,1522,0.6,287.56
11.7,9.6,14,2333,0.9,163.8
4.2,3.5,6,1322,1,25.2
18.5,13.7,16.1,1656,0.9,297.85
27.6,18.6,20.3,1011,0.7,560.28
13.6,7.2,15.7,422,0.7,213.52
24,14,16.1,689,0.4,386.4
15.7,13.4,16.5,1356,0.5,259.05
5.6,5.6,6.2,1311,0.8,34.72
7.3,7.2,14,2333,0.8,102.2
15.2,14.9,17.7,2278,0.8,269.04
16.8,12.1,14.5,978,0.1,243.6
10.4,7.5,14,2333,0.8,145.6
23.6,16.5,16.5,1356,0.7,389.4
13.4,9.5,13.1,811,1,175.54
15,11.6,14.4,1689,0.8,216
9.3,4.8,14.8,1022,0.7,137.64
26.6,16.6,16.1,689,0.6,428.26
13.1,12.5,14.5,978,0.5,189.95
7.9,2.8,7.1,1044,0.2,56.09
8.2,5.8,7.2,1733,0.9,59.04
9.7,10,16.1,1656,0.6,156.17
19.2,12.3,14.5,978,0.7,278.4
19.7,17.6,20.3,1011,1,399.91
8.4,9,16.1,1656,0.5,135.24
11.9,10.4,13.2,2122,0,157.08
27.8,19.3,22.4,867,0,622.72
16.1,13.2,15.1,1411,0.9,243.11
16.7,12.7,14.8,1967,0.8,247.16
13.4,13,16.6,1656,0.8,222.44
8.9,8.9,20.5,722,0.3,182.45
13.6,11.2,13.2,2122,0.1,179.52
19.2,12.6,16.1,1656,0.3,309.12
18,16.9,16.2,1678,0.3,291.6
5.2,4.5,5.4,1133,0.6,28.08
17,11.8,16.1,1656,0.3,273.7
