d,h,hdo,den,num,dhdo,loghdo
14.8,12.1,16.6,1467,0.59039646,245.68,
5.2,4.4,11.8,1600,0.218596101,61.36,
9.2,11.8,14.1,2200,0.563586751,129.72,
4,7.8,11.8,1600,0.466492882,47.2,
5.2,8.8,15,1956,0.154937571,78,
9.7,7.6,18.1,556,0.94211632,175.57,
11.2,13.5,16.9,1733,0.354613759,189.28,
24.2,16.4,21,922,0.875529127,508.2,
13.1,8.8,15.4,967,0.941798856,201.74,
16.1,10.9,15.1,1067,0.406534142,243.11,
5.2,4.3,11.8,1600,0.284906106,61.36,
22.9,14.7,22.8,956,0.78947387,522.12,
7.8,9.4,17.2,1778,0.80149949,134.16,
19,12.6,16.7,1067,0.354249653,317.3,
5.4,4.1,14.9,1222,0.735867199,80.46,
15.4,13.4,17.2,1778,0.889057203,264.88,
14.3,13.5,22.8,956,0.649693537,326.04,
22,13.2,20.5,722,0.218967991,451,
18.9,8.6,13,1511,0.998731424,245.7,
11.4,14.1,17.2,1778,0.3603999,196.08,
6.8,7.7,11.8,1600,0.609685995,80.24,
4.3,5.4,19.6,789,0.83698919,84.28,
8.9,5.6,15.4,1033,0.035190456,137.06,
19.2,11.4,15.4,1033,0.034335241,295.68,
22.6,13.1,19.6,789,0.712357546,442.96,
5.7,4.3,16.2,1478,0.461929703,92.34,
17,13.6,17.1,1411,0.703890108,290.7,
8.3,6.8,15.4,1033,0.582366881,127.82,
12.4,11.6,19.6,789,0.809614309,243.04,
2.5,3.4,10.1,1522,0.745221642,25.25,
18.6,11.7,18.7,844,0.615710654,347.82,
4.3,3.8,11.8,1600,0.497827257,50.74,
27.6,13.3,15.4,967,0.555998989,425.04,
20.1,14.5,17.7,644,0.510191348,355.77,
5.3,7.3,16.9,1733,0.322049815,89.57,
8.7,8.8,13.2,2122,0.278925952,114.84,
15.9,8.2,13,1511,0.844673057,206.7,
10.3,9.9,21,922,0.074272623,216.3,
2.3,3.5,16.2,1478,0.255901883,37.26,
8.2,6.2,22.8,956,0.753193484,186.96,
2.2,2.5,16.2,1478,0.522143785,35.64,
27.8,16.2,15.4,967,0.953976497,428.12,
10.7,8.2,18.1,556,0.512184185,193.67,
3.1,4.4,11.8,1600,0.271694125,36.58,
4.1,5.5,16.2,1478,0.133198368,66.42,
11.7,8.6,17.7,644,0.571833579,207.09,
2.9,5.2,10.1,1522,0.375234858,29.29,
4.5,5.4,9.7,1644,0.972796386,43.65,
14.2,10.4,16.9,1733,0.488744867,239.98,
13.4,10.5,13,1511,0.221016846,174.2,
8.1,7.9,15,1956,0.597102005,121.5,
13.1,9.8,16.4,1844,0.731219112,214.84,
15.5,8.6,15.4,1033,0.270808183,238.7,
