d,h,hdo,den,,,,,
6.3,4.4,16.2,1156,,,,,
6.3,4,6,1322,,,,,
6.3,3.8,15.1,1411,,,,,
6.3,3.4,5.4,1133,,,,,
6.3,2.7,14.8,1022,,,,,
6.4,11.7,14.1,2200,,,,,
6.4,9.6,16.3,1556,,,,,
6.4,7.4,15.8,1522,,,,,
6.4,6.7,14,2333,,,,,
6.4,6.5,10.1,1522,,,,,
6.4,6.1,7.2,1733,,,,,
6.4,5.8,14,2333,,,,,
6.4,5.8,7.2,1733,,,,,
6.4,5.7,6.8,767,,,,,
6.4,5.7,7.2,1733,,,,,
6.4,5.5,7.1,1044,,,,,
6.4,5.4,7.2,1733,,,,,
6.4,5.4,7.2,1733,,,,,
6.4,5.4,7.2,1733,,,,,
6.4,5.3,7.1,1044,,,,,
6.4,5.2,6.9,1356,,,,,
6.4,5.2,6.4,911,,,,,
6.4,4.8,6,600,,,,,
6.4,4.8,7.2,1733,,,,,
6.4,4.8,7.2,1733,,,,,
6.4,4.5,5.7,533,,,,,
6.4,4.3,6.9,1356,,,,,
6.4,4,6,1322,,,,,
6.4,4,5.4,1133,,,,,
6.4,4,5.4,1133,,,,,
6.4,3.7,6.1,722,,,,,
6.4,3.2,7.1,1044,,,,,
6.5,11.8,13.1,811,,,,,
6.5,8.7,13.2,2122,,,,,
6.5,8.3,14,2333,,,,,
6.5,6.6,16.1,1656,,,,,
6.5,6.5,14.8,1022,,,,,
6.5,6.4,17.7,2278,,,,,
6.5,5.9,7.1,1044,,,,,
6.5,5.8,6.8,767,,,,,
6.5,5.8,7.2,1733,,,,,
6.5,5.8,10.1,1522,,,,,
6.5,5.7,6,600,,,,,
6.5,5.7,5.4,1133,,,,,
6.5,5.5,14.8,1022,,,,,
6.5,5.3,6,1322,,,,,
6.5,5.3,6.4,911,,,,,
6.5,5.3,10.1,1522,,,,,
6.5,5.2,6.1,722,,,,,
6.5,5.2,7.2,1733,,,,,
6.5,5.1,7.2,1733,,,,,
6.5,5,6.4,911,,,,,
6.5,5,5.7,533,,,,,
6.5,5,5.7,533,,,,,
6.5,4.9,6,1322,,,,,
6.5,4.9,6.4,911,,,,,
6.5,4.9,7.2,1733,,,,,
6.5,4.6,6,600,,,,,
6.5,4.4,6,1322,,,,,
6.5,4.4,6,1322,,,,,
6.5,4.4,6.4,911,,,,,
6.5,4.2,6.1,722,,,,,
6.5,4.2,5.7,533,,,,,
6.5,4.2,5.4,1133,,,,,
6.5,4,6,1322,,,,,
6.5,3.9,6.9,1356,,,,,
6.5,3.6,5.7,533,,,,,
6.5,3.6,5.4,1133,,,,,
6.5,3.6,5.4,1133,,,,,
6.5,3.5,5.4,1133,,,,,
6.5,3.2,6,600,,,,,
6.6,10.9,15.8,1522,,,,,
6.6,7.1,17.7,2278,,,,,
6.6,6.4,18.8,1233,,,,,
6.6,6,14,2333,,,,,
6.6,6,16.2,1678,,,,,
6.6,5.6,6,1322,,,,,
6.6,5.5,7.1,1044,,,,,
6.6,5.2,7.2,1733,,,,,
6.6,5,6.1,722,,,,,
6.6,4.8,7.1,1044,,,,,
6.6,4,6.9,1356,,,,,
6.6,3.8,5.4,1133,,,,,
6.7,12.5,13.4,778,,,,,
6.7,10.8,15.8,1522,,,,,
6.7,9.9,16.2,1678,,,,,
6.7,7.2,14,2333,,,,,
6.7,5.6,15.8,1522,,,,,
6.7,5.5,7.1,1044,,,,,
6.7,5.4,6.4,911,,,,,
6.7,5.3,14.8,1967,,,,,
6.7,5.1,6.1,722,,,,,
6.7,5.1,10.1,1522,,,,,
6.7,5,6.9,1356,,,,,
6.7,5,6,1322,,,,,
6.7,5,15,1956,,,,,
6.7,4.7,6.1,722,,,,,
6.7,4.7,14.8,1022,,,,,
6.7,4.7,10.1,1522,,,,,
6.7,4.6,6,600,,,,,
6.7,4.5,6.9,1356,,,,,
6.7,4.5,6.8,767,,,,,
6.7,4.4,7.1,1044,,,,,
6.7,4.4,7.2,1733,,,,,
6.7,4.4,9.7,1644,,,,,
6.7,4.3,6.9,1356,,,,,
6.7,4.1,6.9,1356,,,,,
6.7,4,5.7,533,,,,,
6.7,4,14.8,1022,,,,,
6.7,3.5,10.4,500,,,,,
6.8,7.6,14,2333,,,,,
6.8,7.3,14,2333,,,,,
6.8,6.1,6,1322,,,,,
6.8,5.7,6,600,,,,,
6.8,5.4,10.1,1522,,,,,
6.8,5.3,6,1322,,,,,
6.8,5,6,600,,,,,
6.8,5,7.2,1733,,,,,
6.8,4.8,6.9,1356,,,,,
6.8,4.7,6,1322,,,,,
6.8,4.7,15.7,422,,,,,
6.8,4.3,6.9,1356,,,,,
6.8,4.3,6,1322,,,,,
6.8,4,6,600,,,,,
6.8,3.9,5.4,1133,,,,,
6.8,3.8,6.1,722,,,,,
6.8,3.8,5.4,1133,,,,,
6.8,3.7,6.8,767,,,,,
6.8,3,6,1322,,,,,
6.8,3,5.4,1133,,,,,
6.9,11.6,14.1,2200,,,,,
6.9,9.5,13.2,2122,,,,,
6.9,7.9,14.1,2200,,,,,
6.9,6.3,16.3,1556,,,,,
6.9,5.9,6.4,911,,,,,
6.9,5.9,16.6,1656,,,,,
6.9,5.6,6.4,911,,,,,
6.9,5.6,6.4,911,,,,,
6.9,5.4,6.8,767,,,,,
6.9,5.2,14,2333,,,,,
6.9,5.2,6.4,911,,,,,
6.9,5.1,5.7,533,,,,,
6.9,5.1,5.7,533,,,,,
6.9,5.1,7.2,1733,,,,,
6.9,5,6.9,1356,,,,,
6.9,5,6.4,911,,,,,
6.9,5,16.1,689,,,,,
6.9,4.9,6.9,1356,,,,,
6.9,4.8,6,1322,,,,,
7,10.4,14,2333,,,,,
7,9.7,13.2,2122,,,,,
7,9.1,14.8,1967,,,,,
7,7.6,16.1,1656,,,,,
7,6.7,14.8,1967,,,,,
7,6.6,14.8,1967,,,,,
7,6.3,7.2,1733,,,,,
7,6.2,16.6,1656,,,,,
7,6.1,17.3,1122,,,,,
7,5.9,14,2333,,,,,
7,5.9,6.4,911,,,,,
7,5.8,6,1322,,,,,
7,5.8,15.8,1522,,,,,
7,5.6,6.9,1356,,,,,
7,5.5,9.7,1644,,,,,
7,5.5,10.4,500,,,,,
7,5.4,7.2,1733,,,,,
7,5.3,6.8,767,,,,,
7,5.2,10.1,1522,,,,,
7,5.1,6.8,767,,,,,
7,4.7,7.1,1044,,,,,
7,4.7,6,600,,,,,
7,4.6,7.2,1733,,,,,
7,4.5,6.8,767,,,,,
7,4.3,13.4,778,,,,,
7,4.2,6.9,1356,,,,,
7,4.2,7.2,1733,,,,,
7,4.1,14.5,978,,,,,
7,3.9,5.4,1133,,,,,
7,3.6,5.4,1133,,,,,
7,3.5,7.1,1044,,,,,
7.1,8.2,17.7,2278,,,,,
7.1,7.9,14,2333,,,,,
7.1,7.9,16.5,1356,,,,,
7.1,6.5,16.2,1156,,,,,
7.1,5.7,6,1322,,,,,
7.1,5.4,4.9,689,,,,,
7.1,5.4,7.2,1733,,,,,
7.1,5.4,15.1,1411,,,,,
7.1,5.4,15.1,1411,,,,,
7.1,5.3,6,1322,,,,,
7.1,5.2,7.2,1733,,,,,
7.1,5.2,9.7,1644,,,,,
7.1,5.1,6.9,1356,,,,,
7.1,4.7,6.1,722,,,,,
7.1,4.6,9.7,1644,,,,,
7.1,4.5,16.1,689,,,,,
7.1,4,5.4,1133,,,,,
7.1,3.6,9.7,1644,,,,,
7.1,3.5,6.4,911,,,,,
7.1,3.5,6.1,722,,,,,
7.2,10.3,14.5,978,,,,,
7.2,7.5,18.8,1233,,,,,
7.2,6.7,15.1,1656,,,,,
7.2,6.3,7.2,1733,,,,,
7.2,6.3,14.8,1967,,,,,
7.2,6.1,7.2,1733,,,,,
7.2,6.1,7.2,1733,,,,,
7.2,5.9,6.9,1356,,,,,
7.2,5.9,6.8,767,,,,,
7.2,5.8,6.4,911,,,,,
7.2,5.8,6.4,911,,,,,
7.2,5.8,7.2,1733,,,,,
7.2,5.7,6.4,911,,,,,
7.2,5.4,7.1,1044,,,,,
7.2,5.4,10.4,500,,,,,
7.2,5.3,6.9,1356,,,,,
7.2,5.3,6.9,1356,,,,,
7.2,5.3,7.2,1733,,,,,
7.2,5.2,6.9,1356,,,,,
7.2,5.2,6.8,767,,,,,
7.2,5.2,10.1,1522,,,,,
7.2,5.1,6.1,722,,,,,
7.2,5.1,5.7,533,,,,,
7.2,5,6.8,767,,,,,
7.2,4.8,6,1322,,,,,
7.2,4.8,6.1,722,,,,,
7.2,4.7,6.9,1356,,,,,
7.2,4.6,6.1,722,,,,,
7.2,4.5,6.9,1356,,,,,
7.2,4.1,14,2333,,,,,
7.2,3.9,6.4,911,,,,,
7.2,3.5,21.2,967,,,,,
7.3,11.1,16.2,1678,,,,,
7.3,9.8,13.1,811,,,,,
7.3,8.9,14,2333,,,,,
7.3,8.5,14,2333,,,,,
7.3,8.5,14,2333,,,,,
7.3,8.4,13.2,2122,,,,,
7.3,7.9,17.3,1122,,,,,
7.3,7.3,10.1,1522,,,,,
7.3,7.2,14,2333,,,,,
7.3,6.8,17.7,2278,,,,,
7.3,6.3,10.1,1522,,,,,
7.3,6.1,6.4,911,,,,,
7.3,6.1,7.2,1733,,,,,
7.3,6,7.1,1044,,,,,
7.3,5.8,7.2,1733,,,,,
7.3,5.4,6.9,1356,,,,,
7.3,5.4,10.1,1522,,,,,
7.3,5.3,6.8,767,,,,,
7.3,5.3,17.7,2278,,,,,
7.3,4.9,7.1,1044,,,,,
7.3,4.9,6.4,911,,,,,
7.3,4.8,6.9,1356,,,,,
7.3,4.8,7.2,1733,,,,,
7.3,4.7,5.7,533,,,,,
7.3,4.5,6.9,1356,,,,,
7.3,4.4,6,1322,,,,,
7.3,4.3,6.4,911,,,,,
7.3,4,6.9,1356,,,,,
7.3,3.9,6.9,1356,,,,,
7.3,3.9,6,600,,,,,
7.3,3.9,5.4,1133,,,,,
7.3,3.8,6,600,,,,,
7.3,3.8,5.7,533,,,,,
7.3,3.5,5.4,1133,,,,,
7.3,3.2,5.4,1133,,,,,
7.4,16.4,20.5,722,,,,,
7.4,10.2,14.1,2200,,,,,
7.4,9.5,15.8,1522,,,,,
7.4,8.9,14,2333,,,,,
7.4,8.9,20.5,722,,,,,
7.4,7.5,14,2333,,,,,
7.4,7.5,14.8,1967,,,,,
7.4,6.1,6,600,,,,,
7.4,6,7.1,1044,,,,,
7.4,6,6.4,911,,,,,
7.4,5.7,6.4,911,,,,,
7.4,5.7,5.7,533,,,,,
7.4,5.5,6.9,1356,,,,,
7.4,5.5,9.7,1644,,,,,
7.4,5.2,6.1,722,,,,,
7.4,4.9,6,1322,,,,,
7.4,4.8,6,1322,,,,,
7.4,4.5,5.4,1133,,,,,
7.4,4.3,6,1322,,,,,
7.4,4.1,6,1322,,,,,
7.4,4,19.6,789,,,,,
7.4,3.9,6,1322,,,,,
7.4,3.7,5.4,1133,,,,,
7.5,8.8,16.6,1656,,,,,
7.5,8.4,13.2,2122,,,,,
7.5,7.3,14.6,789,,,,,
7.5,7.2,17.7,2278,,,,,
7.5,6.8,16.6,1656,,,,,
7.5,6.5,6.4,911,,,,,
7.5,6.4,7.2,1733,,,,,
7.5,6.3,10.1,1522,,,,,
7.5,6.2,16.6,1656,,,,,
7.5,6,10.4,500,,,,,
7.5,5.9,7.2,1733,,,,,
7.5,5.8,7.1,1044,,,,,
7.5,5.7,5.7,533,,,,,
7.5,5.6,6,1322,,,,,
7.5,5.6,5.7,533,,,,,
7.5,5.5,6.9,1356,,,,,
7.5,5.5,7.2,1733,,,,,
7.5,5.4,5.7,533,,,,,
7.5,5.3,7.2,1733,,,,,
7.5,5.2,16.2,1678,,,,,
7.5,5.1,6,1322,,,,,
7.5,5.1,6.4,911,,,,,
7.5,5.1,5.4,1133,,,,,
7.5,5.1,14.5,978,,,,,
7.5,5.1,15.1,1411,,,,,
7.5,5,6.9,1356,,,,,
7.5,4.7,6,1322,,,,,
7.5,4.6,6,1322,,,,,
7.5,4.5,5.4,1133,,,,,
7.5,4.4,6,1322,,,,,
7.5,4.4,5.4,1133,,,,,
7.5,4.4,10.1,1522,,,,,
7.5,4.3,5.4,1133,,,,,
7.5,4.1,9.7,1644,,,,,
7.5,3.6,6,600,,,,,
7.5,3.3,15.1,1067,,,,,
7.6,11.4,14.1,2200,,,,,
7.6,10.6,16.3,1556,,,,,
7.6,9.8,13.2,2122,,,,,
7.6,8.9,14.1,2200,,,,,
7.6,8.5,15.1,1656,,,,,
7.6,7.7,15.8,1522,,,,,
7.6,7.2,14,2333,,,,,
7.6,7,16.6,1656,,,,,
7.6,6.3,7.1,1044,,,,,
7.6,6.3,16.2,1678,,,,,
7.6,6.1,7.2,1733,,,,,
7.6,6.1,10.1,1522,,,,,
7.6,5.9,7.2,1733,,,,,
7.6,5.6,6.4,911,,,,,
7.6,5.4,10.1,1522,,,,,
7.6,5.4,10.1,1522,,,,,
7.6,5.2,6.8,767,,,,,
7.6,5.1,6.9,1356,,,,,
7.6,5,6.8,767,,,,,
7.6,5,6.1,722,,,,,
7.6,5,5.7,533,,,,,
7.6,4.8,6.9,1356,,,,,
7.6,4.8,6,600,,,,,
7.6,4.5,6,600,,,,,
7.6,4.4,6.9,1356,,,,,
7.6,4.4,5.4,1133,,,,,
7.6,4.3,6,600,,,,,
7.6,4,6.4,911,,,,,
7.6,3.9,6,600,,,,,
7.7,10.3,14.1,2200,,,,,
7.7,9.7,17.7,2278,,,,,
7.7,7.8,6.9,1356,,,,,
7.7,6.8,7.2,1733,,,,,
7.7,6.1,10.1,1522,,,,,
7.7,6.1,10.1,1522,,,,,
7.7,5.9,6.4,911,,,,,
7.7,5.8,15.1,1411,,,,,
7.7,5.5,14.5,978,,,,,
7.7,5.4,6,1322,,,,,
7.7,5.3,6.9,1356,,,,,
7.7,5.3,6.4,911,,,,,
7.7,5,9.7,1644,,,,,
7.7,4.8,6,1322,,,,,
7.7,4.8,14.6,789,,,,,
7.7,4.8,7.2,1733,,,,,
7.7,3.8,6,1322,,,,,
7.8,14.6,21.5,1667,,,,,
7.8,8.5,17.7,2278,,,,,
7.8,8.3,14,2333,,,,,
7.8,6.6,15.1,1411,,,,,
7.8,6.5,17.7,2278,,,,,
7.8,6.3,14.5,978,,,,,
7.8,5.8,7.2,1733,,,,,
7.8,5.6,6.4,911,,,,,
7.8,5.6,15.1,1411,,,,,
7.8,5.3,6.9,1356,,,,,
7.8,5.2,6.9,1356,,,,,
7.8,5.2,6,600,,,,,
7.8,5.1,6,600,,,,,
7.8,5,14,2333,,,,,
7.8,5,6,1322,,,,,
7.8,5,5.7,533,,,,,
7.8,4.9,7.2,1733,,,,,
7.8,4.8,7.2,1733,,,,,
7.8,4.5,6,1322,,,,,
7.8,4.5,6,600,,,,,
7.8,4,6.9,1356,,,,,
7.9,9.9,17.7,2278,,,,,
7.9,9.7,13.2,2122,,,,,
7.9,9,14,2333,,,,,
7.9,8.1,14.8,1967,,,,,
7.9,7.7,16.2,1156,,,,,
7.9,7.5,15.1,1656,,,,,
7.9,6.6,7.2,1733,,,,,
7.9,6.5,7.2,1733,,,,,
7.9,6.3,15.1,1411,,,,,
7.9,6.3,20.5,722,,,,,
7.9,6.2,6.9,1356,,,,,
7.9,5.9,7.2,1733,,,,,
7.9,5.8,7.2,1733,,,,,
7.9,5.7,7.2,1733,,,,,
7.9,5.7,13.4,778,,,,,
7.9,5.1,6.8,767,,,,,
7.9,5,6.8,767,,,,,
7.9,4.7,6,1322,,,,,
7.9,4.5,6.9,1356,,,,,
7.9,4.5,9.7,1644,,,,,
7.9,3.8,5.7,533,,,,,
7.9,2.8,7.1,1044,,,,,
8,14.1,21.5,1667,,,,,
8,12.6,14.8,1967,,,,,
8,10.4,13.2,2122,,,,,
8,9.7,17.7,2278,,,,,
8,7.6,16.6,1656,,,,,
8,7.5,14.8,1967,,,,,
8,7.5,15.1,1656,,,,,
8,7,7.1,1044,,,,,
8,7,14.4,1689,,,,,
8,6.6,18.8,1233,,,,,
8,6.5,14,2333,,,,,
8,6.5,10.1,1522,,,,,
8,6.4,10.4,500,,,,,
8,6,6,1322,,,,,
8,6,16.2,1678,,,,,
8,5.9,6.1,722,,,,,
8,5.8,6.9,1356,,,,,
8,5.8,6.1,722,,,,,
8,5.8,5.4,1133,,,,,
8,5.8,16.1,1656,,,,,
8,5.8,10.1,1522,,,,,
8,5.6,17.3,1122,,,,,
8,5.5,6.9,1356,,,,,
8,5.5,7.1,1044,,,,,
8,5.5,6.8,767,,,,,
8,5.4,6.9,1356,,,,,
8,5.1,6.9,1356,,,,,
8,5.1,6.8,767,,,,,
8,5.1,6,1322,,,,,
8,5.1,6,1322,,,,,
8,5,6.9,1356,,,,,
8,4.9,7.1,1044,,,,,
8,4.9,6,600,,,,,
8,4.8,6,600,,,,,
8,4.8,5.7,533,,,,,
8,4.7,6.8,767,,,,,
8,4.7,5.7,533,,,,,
8,4.4,5.7,533,,,,,
8,4.4,15.1,1411,,,,,
8,4.2,5.7,533,,,,,
8,4.1,6.9,1356,,,,,
8,4.1,5.4,1133,,,,,
8,4.1,14.8,1022,,,,,
8.1,10.4,13.2,2122,,,,,
8.1,9.5,16.3,1556,,,,,
8.1,8.8,13.2,2122,,,,,
8.1,8.7,14.4,1689,,,,,
8.1,8.7,15.8,1522,,,,,
8.1,8.2,16.6,1656,,,,,
8.1,7.8,14,2333,,,,,
8.1,7.3,14,2333,,,,,
8.1,7.3,16.1,689,,,,,
8.1,7.1,10.1,1522,,,,,
8.1,6.6,10.4,500,,,,,
8.1,6.4,6.4,911,,,,,
8.1,6.3,9.7,1644,,,,,
8.1,6,6,1322,,,,,
8.1,5.9,7.1,1044,,,,,
8.1,5.8,7.1,1044,,,,,
8.1,5.8,6.8,767,,,,,
8.1,5.3,7.1,1044,,,,,
8.1,5.3,9.7,1644,,,,,
8.1,4.9,6.9,1356,,,,,
8.1,4.6,6,600,,,,,
8.1,4.4,6.4,911,,,,,
8.1,4.4,5.4,1133,,,,,
8.1,4.3,16.1,689,,,,,
8.1,3.7,5.7,533,,,,,
8.2,11.7,13.2,2122,,,,,
8.2,9.9,13.2,2122,,,,,
8.2,8.2,15.8,1522,,,,,
8.2,8.1,14.5,978,,,,,
8.2,7.1,15.1,1411,,,,,
8.2,6.9,10.1,1522,,,,,
8.2,6.1,7.1,1044,,,,,
8.2,6,6.1,722,,,,,
8.2,6,15.1,1067,,,,,
8.2,5.8,7.2,1733,,,,,
8.2,5.7,10.1,1522,,,,,
8.2,5.4,6.4,911,,,,,
8.2,5.2,6.9,1356,,,,,
8.2,5.2,18.8,1233,,,,,
8.2,5.1,6,1322,,,,,
8.2,5.1,6.4,911,,,,,
8.2,4.9,6,600,,,,,
8.2,4.4,6.4,911,,,,,
8.2,4,7.1,1044,,,,,
8.2,3.6,6.1,722,,,,,
8.3,11.7,13.2,2122,,,,,
8.3,10.3,17.7,2278,,,,,
8.3,9.5,14.8,1967,,,,,
8.3,9.4,17.7,2278,,,,,
8.3,8.6,15.1,1656,,,,,
8.3,8.3,16.6,1656,,,,,
8.3,8.3,17.7,2278,,,,,
8.3,8,14,2333,,,,,
8.3,7.2,18.8,1233,,,,,
8.3,6.3,7.1,1044,,,,,
8.3,5.9,7.2,1733,,,,,
8.3,5.9,10.1,1522,,,,,
8.3,5.7,6,600,,,,,
8.3,5.6,6,1322,,,,,
8.3,5.6,6.4,911,,,,,
8.3,5.5,5.7,533,,,,,
8.3,5.5,15.1,1411,,,,,
8.3,5.2,7.1,1044,,,,,
8.3,5.2,9.7,1644,,,,,
8.3,5.1,6,1322,,,,,
8.3,5,6.9,1356,,,,,
8.3,5,5.7,533,,,,,
8.3,4.9,6.1,722,,,,,
8.3,4.8,14,2333,,,,,
8.3,4.4,6,600,,,,,
8.3,4.3,14,2333,,,,,
8.3,4.2,5.7,533,,,,,
8.3,4.2,20.5,722,,,,,
8.3,3.8,5.7,533,,,,,
8.3,3.7,5.7,533,,,,,
8.4,11.7,13.2,2122,,,,,
8.4,11.5,17.7,2278,,,,,
8.4,11.3,14.8,1967,,,,,
8.4,10.6,19.6,789,,,,,
8.4,9.9,17.2,1778,,,,,
8.4,9.3,17.7,2278,,,,,
8.4,9,16.1,1656,,,,,
8.4,7.1,7.1,1044,,,,,
8.4,7,14,2333,,,,,
8.4,6.3,7.1,1044,,,,,
8.4,6.2,6.8,767,,,,,
8.4,6.1,14,2333,,,,,
8.4,6.1,6.4,911,,,,,
8.4,5.8,9.7,1644,,,,,
8.4,5.3,10.1,1522,,,,,
8.4,5.2,6,1322,,,,,
8.4,5.2,14.6,789,,,,,
8.4,5.1,6.9,1356,,,,,
8.4,5,5.7,533,,,,,
8.4,4.9,6.8,767,,,,,
8.4,4.8,13.1,811,,,,,
8.4,4.5,5.4,1133,,,,,
8.4,4.5,14.5,978,,,,,
8.4,4.4,6.9,1356,,,,,
8.4,4.3,6.1,722,,,,,
8.4,4.1,6.1,722,,,,,
8.5,13.1,17.3,1122,,,,,
8.5,11.5,17.7,2278,,,,,
8.5,10.4,21.5,1667,,,,,
8.5,10,13.2,2122,,,,,
8.5,7,7.1,1044,,,,,
8.5,6.5,10.1,1522,,,,,
8.5,6.2,13.9,767,,,,,
8.5,6.1,14.8,1022,,,,,
8.5,6,7.1,1044,,,,,
8.5,5.5,6,1322,,,,,
8.5,5.4,6.9,1356,,,,,
8.5,5.3,6.9,1356,,,,,
8.5,5.3,6.4,911,,,,,
8.5,5.2,16.2,1678,,,,,
8.5,5.1,6.8,767,,,,,
8.5,5.1,6.8,767,,,,,
8.5,4.9,5.4,1133,,,,,
8.5,4.8,6,1322,,,,,
8.5,4.8,6.4,911,,,,,
8.5,4.8,5.4,1133,,,,,
8.5,4.2,6.8,767,,,,,
8.5,4.1,14.5,978,,,,,
8.5,3.6,6.9,1356,,,,,
8.6,10.6,14.8,1967,,,,,
8.6,10.3,17.7,2278,,,,,
8.6,9.3,14.8,1022,,,,,
8.6,9.3,14.8,1967,,,,,
8.6,8.6,14,2333,,,,,
8.6,8.5,17.7,2278,,,,,
8.6,7.9,16.5,1356,,,,,
8.6,7.9,16.5,1356,,,,,
8.6,7.8,15,1956,,,,,
8.6,7,14.8,1022,,,,,
8.6,6.9,13.9,767,,,,,
8.6,6.7,16.6,1656,,,,,
8.6,6.7,10.1,1522,,,,,
8.6,6.5,7.1,1044,,,,,
8.6,6.5,14.5,978,,,,,
8.6,6.5,10.1,1522,,,,,
8.6,6.3,7.1,1044,,,,,
8.6,6.2,7.2,1733,,,,,
8.6,6.2,10.1,1522,,,,,
8.6,5.6,6,1322,,,,,
8.6,5.5,10.1,1522,,,,,
8.6,5.3,6.9,1356,,,,,
8.6,5.3,6.4,911,,,,,
8.6,5.2,6.4,911,,,,,
8.6,5.2,10.1,1522,,,,,
8.6,5.2,14.8,1967,,,,,
8.6,5.1,6.9,1356,,,,,
8.6,5.1,7.1,1044,,,,,
8.6,5,6.9,1356,,,,,
8.6,4.3,5.4,1133,,,,,
8.7,12.6,15.8,1522,,,,,
8.7,11.5,13.4,778,,,,,
8.7,8.7,14,2333,,,,,
8.7,8.6,15.1,1656,,,,,
8.7,7.3,7.2,1733,,,,,
8.7,6.9,16.6,1656,,,,,
8.7,6.7,15.1,1411,,,,,
8.7,6.5,13.2,2122,,,,,
8.7,6.5,10.1,1522,,,,,
8.7,6.1,14.6,789,,,,,
8.7,5.9,6,600,,,,,
8.7,5.6,6.4,911,,,,,
8.7,5.1,6.4,911,,,,,
8.7,4.8,6.4,911,,,,,
8.7,4.8,10.4,500,,,,,
8.7,4.3,9.7,1644,,,,,
8.7,4.2,5.7,533,,,,,
8.7,4.2,15.1,1411,,,,,
8.7,3.9,14,2333,,,,,
8.8,12.2,21.5,1667,,,,,
8.8,10.8,14.8,1967,,,,,
8.8,10.6,16.3,1556,,,,,
8.8,10.5,14.8,1967,,,,,
8.8,9,15.8,1522,,,,,
8.8,8.5,16.6,1656,,,,,
8.8,7.8,17.7,2278,,,,,
8.8,7.7,15.1,1656,,,,,
8.8,7.7,19.6,789,,,,,
8.8,7.3,14.8,1967,,,,,
8.8,7,7.1,1044,,,,,
8.8,6.8,7.1,1044,,,,,
8.8,6.5,10.1,1522,,,,,
8.8,5.9,14,2333,,,,,
8.8,5.8,6.4,911,,,,,
8.8,5.3,6.9,1356,,,,,
8.8,5.3,7.2,1733,,,,,
8.8,5.2,6.4,911,,,,,
8.8,4.9,6.4,911,,,,,
8.8,4.9,7.2,1733,,,,,
8.8,4.8,6,1322,,,,,
8.8,4.8,7.2,1733,,,,,
8.8,4.7,9.7,1644,,,,,
8.9,10.2,16.3,1556,,,,,
8.9,8.9,14,2333,,,,,
8.9,8.9,20.5,722,,,,,
8.9,6.8,10.1,1522,,,,,
8.9,6.6,6.9,1356,,,,,
8.9,6.6,9.7,1644,,,,,
8.9,6.4,6,600,,,,,
8.9,6.4,7.2,1733,,,,,
8.9,6.3,9.7,1644,,,,,
8.9,6.2,16.2,1678,,,,,
8.9,6,15.1,1411,,,,,
8.9,5.7,7.1,1044,,,,,
8.9,5.7,6.1,722,,,,,
8.9,5.7,13.1,811,,,,,
8.9,5.6,6.8,767,,,,,
8.9,5.1,6.8,767,,,,,
8.9,4.3,6,600,,,,,
9,15.5,17.3,1122,,,,,
9,13.1,21.5,1667,,,,,
9,10.7,15.1,1656,,,,,
9,10.3,13.2,2122,,,,,
9,9.2,14.8,1967,,,,,
9,8.8,14,2333,,,,,
9,6.5,6.9,1356,,,,,
9,6.5,10.1,1522,,,,,
9,6.3,6.4,911,,,,,
9,6.2,14.4,1689,,,,,
9,6.2,7.2,1733,,,,,
9,6,6.9,1356,,,,,
9,5.8,13.1,811,,,,,
9,5.7,5.4,1133,,,,,
9,5.6,7.1,1044,,,,,
9,5.4,6,1322,,,,,
9,5.3,10.1,1522,,,,,
9,5.1,7.2,1733,,,,,
9,5,6,1322,,,,,
9.1,16.6,16.1,1656,,,,,
9.1,10.1,14.6,789,,,,,
9.1,9.2,16.3,1556,,,,,
9.1,9,17.7,2278,,,,,
9.1,8.5,15.1,1411,,,,,
9.1,7.1,15.1,1411,,,,,
9.1,6.5,7.1,1044,,,,,
9.1,6,6.8,767,,,,,
9.1,5.8,6.1,722,,,,,
9.1,5.4,6.9,1356,,,,,
9.1,4.8,13.1,811,,,,,
9.1,3.2,6.4,911,,,,,
9.2,12.1,14.8,1967,,,,,
9.2,11.9,14.1,2200,,,,,
9.2,11.6,15.1,1411,,,,,
9.2,11.5,15.8,1522,,,,,
9.2,11.1,14.1,2200,,,,,
9.2,10.9,16.2,1156,,,,,
9.2,10.3,13.2,2122,,,,,
9.2,10.2,17.7,2278,,,,,
9.2,9.7,13.2,2122,,,,,
9.2,9.6,14,2333,,,,,
9.2,9.3,13.2,2122,,,,,
9.2,8.1,16.2,1678,,,,,
9.2,7.9,14.8,1022,,,,,
9.2,7.7,14.8,1967,,,,,
9.2,7.5,13.2,2122,,,,,
9.2,7.4,10.1,1522,,,,,
9.2,6.4,7.2,1733,,,,,
9.2,6,6.8,767,,,,,
9.2,6,15.1,1067,,,,,
9.2,5.9,10.1,1522,,,,,
9.2,5.5,6.4,911,,,,,
9.2,5.5,14.5,978,,,,,
9.2,5.4,6.8,767,,,,,
9.2,5.2,6.8,767,,,,,
9.2,3.9,16.2,1156,,,,,
9.2,3.3,13.4,778,,,,,
9.3,10.7,14.5,978,,,,,
9.3,9.8,14,2333,,,,,
9.3,8.2,13.1,811,,,,,
9.3,6.7,10.1,1522,,,,,
9.3,6.6,7.1,1044,,,,,
9.3,6.4,17.7,2278,,,,,
9.3,5.9,6.1,722,,,,,
9.3,5.7,6.4,911,,,,,
9.3,5.6,6.9,1356,,,,,
9.3,5.6,6.4,911,,,,,
