d,h,hdo,den,,,,,
3.6,3.2,4.9,689,,,,,
3.6,3.1,14,2333,,,,,
3.6,3.1,4.9,689,,,,,
3.6,2.9,4.9,689,,,,,
3.6,2.4,4.9,689,,,,,
3.7,4,7.2,1733,,,,,
3.7,3.9,17.2,1778,,,,,
3.7,3.8,5.7,533,,,,,
3.7,3.8,4.9,689,,,,,
3.7,3.3,6.2,1311,,,,,
3.7,3.2,5.4,1133,,,,,
3.7,2.9,7.1,1044,,,,,
3.7,2.8,6.8,767,,,,,
3.7,2.8,6.1,722,,,,,
3.7,2.8,4.9,689,,,,,
3.7,2.2,14.1,556,,,,,
3.8,7.8,13.2,2122,,,,,
3.8,4.7,7.2,1733,,,,,
3.8,4.6,7.2,1733,,,,,
3.8,4.5,5.4,1133,,,,,
3.8,4.5,14.8,1022,,,,,
3.8,4.4,10.1,1522,,,,,
3.8,4.2,14,2333,,,,,
3.8,4.1,6,1322,,,,,
3.8,3.9,7.1,1044,,,,,
3.8,3.7,14,2333,,,,,
3.8,3.7,6,1322,,,,,
3.8,3.6,9.7,1644,,,,,
3.8,3.5,14,2333,,,,,
3.8,3.5,10.1,1522,,,,,
3.8,3.4,6.9,1356,,,,,
3.8,3.3,5.4,1133,,,,,
3.8,3.2,4.9,689,,,,,
3.8,3.1,7.8,989,,,,,
3.8,3,7.1,1044,,,,,
3.8,3,9.7,1644,,,,,
3.8,2.9,14.1,2200,,,,,
3.8,2.7,6.8,767,,,,,
3.8,1.9,7.8,989,,,,,
3.9,5.7,17.2,1778,,,,,
3.9,4.3,6,1322,,,,,
3.9,4.2,5.4,1133,,,,,
3.9,4.1,10.1,1522,,,,,
3.9,3.8,6.9,1356,,,,,
3.9,3.8,5.4,1133,,,,,
3.9,3.8,4.9,689,,,,,
3.9,3.8,7.2,1733,,,,,
3.9,3.7,5.7,533,,,,,
3.9,3.7,9.7,1644,,,,,
3.9,3.5,5.4,1133,,,,,
3.9,3.4,15,1956,,,,,
3.9,3,15.1,1067,,,,,
3.9,2.8,5.4,1133,,,,,
4,6.5,15.8,1522,,,,,
4,5.6,6.8,767,,,,,
4,5.4,10.1,1522,,,,,
4,5,5.7,533,,,,,
4,4.9,6.1,722,,,,,
4,4.9,10.1,1522,,,,,
4,4.5,15.1,1656,,,,,
4,4.3,6.9,1356,,,,,
4,4.2,9.7,1644,,,,,
4,4.1,4.9,689,,,,,
4,3.9,6,1322,,,,,
4,3.5,14.8,1022,,,,,
4,3.5,14.8,1022,,,,,
4,3.4,7.2,1733,,,,,
4,3.3,7.1,1044,,,,,
4,3.2,6.1,722,,,,,
4,3.2,5.4,1133,,,,,
4,3.2,9.7,1644,,,,,
4,3.1,4.9,689,,,,,
4,3,6.1,722,,,,,
4,3,5.4,1133,,,,,
4,2.9,7.1,1044,,,,,
4,2.8,5.4,1133,,,,,
4.1,8.1,15.8,1522,,,,,
4.1,6.7,17.2,1778,,,,,
4.1,5.6,15.8,1522,,,,,
4.1,4,6,1322,,,,,
4.1,4,6,1322,,,,,
4.1,3.8,6.1,722,,,,,
4.1,3.8,4.9,689,,,,,
4.1,3.7,6.9,1356,,,,,
4.1,3.7,7.8,989,,,,,
4.1,3.6,7.8,989,,,,,
4.1,3.5,5.4,1133,,,,,
4.1,3.5,7.8,989,,,,,
4.1,3.3,7.2,1733,,,,,
4.1,3.1,16.5,1356,,,,,
4.1,3,4.9,689,,,,,
4.1,3,7.8,989,,,,,
4.1,2.7,4.9,689,,,,,
4.1,2.6,6,1322,,,,,
4.1,2.6,6.1,722,,,,,
4.1,2.5,7.2,1733,,,,,
4.2,9.2,14.6,789,,,,,
4.2,7.1,7.1,1044,,,,,
4.2,5.5,14.1,2200,,,,,
4.2,5.4,14.8,1022,,,,,
4.2,5.3,7.2,1733,,,,,
4.2,5.3,9.7,1644,,,,,
4.2,5.3,15.8,1522,,,,,
4.2,4.8,15.1,1656,,,,,
4.2,4.6,6,600,,,,,
4.2,4.5,6,600,,,,,
4.2,4.3,5.4,1133,,,,,
4.2,4.2,6.2,1311,,,,,
4.2,4.2,10.1,1522,,,,,
4.2,3.9,7.1,1044,,,,,
4.2,3.7,16.5,1356,,,,,
4.2,3.5,6,1322,,,,,
4.2,3.5,7.8,989,,,,,
4.2,3,6,1322,,,,,
4.2,3,5.4,1133,,,,,
4.2,2.8,6,1322,,,,,
4.2,2.8,5.4,1133,,,,,
4.2,2.7,6.1,722,,,,,
4.2,2.5,7.8,989,,,,,
4.2,2.1,10.4,500,,,,,
4.3,7,13.2,2122,,,,,
4.3,6.7,14,2333,,,,,
4.3,6.5,7.2,1733,,,,,
4.3,5.4,19.6,789,,,,,
4.3,5.2,10.1,1522,,,,,
4.3,4.7,7.1,1044,,,,,
4.3,4.7,6,1322,,,,,
4.3,4.7,5.7,533,,,,,
4.3,4.5,7.1,1044,,,,,
4.3,4.4,7.8,989,,,,,
4.3,4.3,14,2333,,,,,
4.3,4.2,9.7,1644,,,,,
4.3,4.1,7.2,1733,,,,,
4.3,3.7,5.4,1133,,,,,
4.3,3.6,6.9,1356,,,,,
4.3,3.5,6,1322,,,,,
4.3,3.3,5.4,1133,,,,,
4.3,3.2,6.1,722,,,,,
4.3,2.9,15.1,1411,,,,,
4.3,2.8,6,1322,,,,,
4.3,2.7,6,1322,,,,,
4.3,2.5,4.9,689,,,,,
4.4,5.2,13.2,2122,,,,,
4.4,4.8,17.7,2278,,,,,
4.4,4.6,10.1,1522,,,,,
4.4,4.5,5.4,1133,,,,,
4.4,4.3,6.4,911,,,,,
4.4,4.2,13.9,767,,,,,
4.4,4.2,7.2,1733,,,,,
4.4,3.5,6.9,1356,,,,,
4.4,3.5,6.1,722,,,,,
4.4,3.5,5.4,1133,,,,,
4.4,3.3,5.4,1133,,,,,
4.4,3.3,4.9,689,,,,,
4.4,3.1,4.9,689,,,,,
4.4,2.3,7.8,989,,,,,
4.4,2.2,4.9,689,,,,,
4.5,9.1,14,2333,,,,,
4.5,5.9,14,2333,,,,,
4.5,5.7,15.8,1522,,,,,
4.5,5.4,10.1,1522,,,,,
4.5,5.2,6.9,1356,,,,,
4.5,5.2,7.2,1733,,,,,
4.5,5.1,6,1322,,,,,
4.5,4.9,7.2,1733,,,,,
4.5,4.8,5.7,533,,,,,
4.5,4.7,5.4,1133,,,,,
4.5,4.6,6,1322,,,,,
4.5,4.5,6,1322,,,,,
4.5,4.5,6.4,911,,,,,
4.5,4.4,7.1,1044,,,,,
4.5,4.3,6.9,1356,,,,,
4.5,4.3,7.1,1044,,,,,
4.5,4.3,6.8,767,,,,,
4.5,4.3,6,1322,,,,,
4.5,4.2,6,1322,,,,,
4.5,4.2,16.2,1678,,,,,
4.5,4.1,4.9,689,,,,,
4.5,4,6.1,722,,,,,
4.5,3.9,6.1,722,,,,,
4.5,3.7,7.2,1733,,,,,
4.5,3.6,6,1322,,,,,
4.5,3.6,5.4,1133,,,,,
4.5,3.4,6,1322,,,,,
4.5,3.4,4.9,689,,,,,
4.5,3.3,4.9,689,,,,,
4.5,2.9,5.4,1133,,,,,
4.5,2.9,7.8,989,,,,,
4.5,2.8,5.4,1133,,,,,
4.5,2.4,5.4,1133,,,,,
4.6,6.9,14,2333,,,,,
4.6,6.6,10.1,1522,,,,,
4.6,4.7,6,1322,,,,,
4.6,4.6,10.1,1522,,,,,
4.6,4.5,15.8,1522,,,,,
4.6,4.2,7.2,1733,,,,,
4.6,3.6,7.8,989,,,,,
4.6,3.4,6.1,722,,,,,
4.6,3.3,6.9,1356,,,,,
4.6,3.1,4.9,689,,,,,
4.6,2,6,1322,,,,,
4.7,6.4,14,2333,,,,,
4.7,5.6,17.7,2278,,,,,
4.7,5.1,6.2,1311,,,,,
4.7,5.1,5.7,533,,,,,
4.7,4.9,14,2333,,,,,
4.7,4.8,7.2,1733,,,,,
4.7,4.7,6,1322,,,,,
4.7,4.7,7.2,1733,,,,,
4.7,4.5,6,1322,,,,,
4.7,4.4,6,600,,,,,
4.7,4.2,7.8,989,,,,,
4.7,4.1,6,1322,,,,,
4.7,4.1,10.1,1522,,,,,
4.7,3.9,5.4,1133,,,,,
4.7,3.9,4.9,689,,,,,
4.7,3.5,6,600,,,,,
4.7,3.5,6.4,911,,,,,
4.7,3.5,15,1956,,,,,
4.7,3.4,6.9,1356,,,,,
4.7,3.4,7.1,1044,,,,,
4.7,3.4,6.1,722,,,,,
4.7,3.3,5.4,1133,,,,,
4.7,3.2,14.8,1022,,,,,
4.7,2.4,6,1322,,,,,
4.8,6.6,10.1,1522,,,,,
4.8,5.4,16.3,1556,,,,,
