"CW","CLR","SD","D","PLOT"
5.2,0.58,488.8888889,15.1,16
5.55,0.87,488.8888889,24.5,16
6.49,0.83,488.8888889,25.5,16
6.25,0.81,488.8888889,33.3,16
7.12,0.74,488.8888889,18.4,16
7.505,0.71,488.8888889,33.4,16
3.125,0.49,488.8888889,6.2,16
3.125,0.6,488.8888889,6.2,16
1.48,0.71,488.8888889,5.9,16
6.445,0.67,488.8888889,11.2,16
1.705,0.81,488.8888889,2.5,16
5.97,0.89,488.8888889,17.2,16
2.515,0.77,488.8888889,5.4,16
1.8,0.82,488.8888889,2.9,16
2.815,0.72,488.8888889,3.1,16
4.84,0.58,488.8888889,13.5,16
5.13,0.81,488.8888889,24.6,16
4.82,0.83,488.8888889,29,16
6.223,0.75,488.8888889,26.8,16
4.867,0.41,488.8888889,23,16
4.8895,0.84,488.8888889,36.4,16
2.101,0.74,488.8888889,5.8,16
1.971,0.84,488.8888889,2.2,16
1.6445,0.86,488.8888889,3.6,16
2.2005,0.77,488.8888889,4.5,16
3.675,0.55,1611.111111,7,17
3.2,0.77,1611.111111,11,17
3.42,0.72,1611.111111,8.3,17
3.5,0.73,1611.111111,5.2,17
3.645,0.75,1611.111111,11.1,17
2.48,0.7,1611.111111,3.1,17
2.035,0.74,1611.111111,3.7,17
1.84,0.49,1611.111111,2.8,17
1.405,0.46,1611.111111,3.2,17
2.4625,0.84,1611.111111,6.5,17
2.2915,0.75,1611.111111,7.3,17
2.233,0.77,1611.111111,6.8,17
2.0725,0.75,1611.111111,3.7,17
3.2385,0.76,1611.111111,8.8,17
3.013,0.83,1611.111111,8.2,17
2.512,0.88,1611.111111,5.3,17
2.4305,0.79,1611.111111,4,17
2.516,0.85,1611.111111,6.2,17
2.8025,0.68,1611.111111,11.3,17
3.3425,0.54,1611.111111,7.6,17
2.173,0.81,1611.111111,2.7,17
2.5725,0.82,1611.111111,6.4,17
2.811,0.85,1611.111111,5,17
2.669,0.9,1611.111111,5.6,17
1.613,0.62,1611.111111,3.3,17
1.9295,0.86,1611.111111,3.8,17
1.56,0.95,1611.111111,3.2,17
1.779,0.78,1611.111111,3.5,17
