"CW","D","SD","CLR","plot"
2,4.8,488,0.71,"16"
2.1,4.8,488,0.81,"16"
3.15,6.2,488,0.8,"16"
5.45,24.6,488,0.78,"16"
6.05,29.2,488,0.84,"16"
5.55,22.2,488,0.71,"16"
5.05,23.3,488,0.69,"16"
4.7,19.2,488,0.8,"16"
4.15,21.2,488,0.62,"16"
5.2,15.1,488,0.58,"16"
5.55,24.5,488,0.87,"16"
6.49,25.5,488,0.83,"16"
6.25,33.3,488,0.81,"16"
7.12,18.4,488,0.74,"16"
7.505,33.4,488,0.71,"16"
3.125,6.2,488,0.49,"16"
3.125,6.2,488,0.6,"16"
1.48,5.9,488,0.71,"16"
6.445,11.2,488,0.67,"16"
1.705,2.5,488,0.81,"16"
5.97,17.2,488,0.89,"16"
2.515,5.4,488,0.77,"16"
1.8,2.9,488,0.82,"16"
2.815,3.1,488,0.72,"16"
4.84,13.5,488,0.58,"16"
5.13,24.6,488,0.81,"16"
4.82,29,488,0.83,"16"
6.223,26.8,488,0.75,"16"
4.867,23,488,0.41,"16"
4.8895,36.4,488,0.84,"16"
2.101,5.8,488,0.74,"16"
1.971,2.2,488,0.84,"16"
1.6445,3.6,488,0.86,"16"
2.2005,4.5,488,0.77,"16"
3.675,7,1611,0.55,"17"
3.2,11,1611,0.77,"17"
3.42,8.3,1611,0.72,"17"
3.5,5.2,1611,0.73,"17"
3.645,11.1,1611,0.75,"17"
2.48,3.1,1611,0.7,"17"
2.035,3.7,1611,0.74,"17"
1.84,2.8,1611,0.49,"17"
1.405,3.2,1611,0.46,"17"
2.4625,6.5,1611,0.84,"17"
2.2915,7.3,1611,0.75,"17"
2.233,6.8,1611,0.77,"17"
2.0725,3.7,1611,0.75,"17"
3.2385,8.8,1611,0.76,"17"
3.013,8.2,1611,0.83,"17"
2.512,5.3,1611,0.88,"17"
2.4305,4,1611,0.79,"17"
2.516,6.2,1611,0.85,"17"
2.8025,11.3,1611,0.68,"17"
3.3425,7.6,1611,0.54,"17"
2.173,2.7,1611,0.81,"17"
2.5725,6.4,1611,0.82,"17"
2.811,5,1611,0.85,"17"
2.669,5.6,1611,0.9,"17"
1.613,3.3,1611,0.62,"17"
1.9295,3.8,1611,0.86,"17"
1.56,3.2,1611,0.95,"17"
1.779,3.5,1611,0.78,"17"
2.055,3.7,1611,0.61,"17"
2.095,4.6,1611,0.81,"17"
2.013,4.1,1611,0.81,"17"
2.476,5.3,1611,0.84,"17"
2.019,2.5,1611,0.84,"17"
1.5835,4.3,1611,0.76,"17"
2.4125,4,1611,0.75,"17"
1.592,4.6,1611,0.84,"17"
1.9995,3.5,1611,0.8,"17"
2.292,6.5,1611,0.85,"17"
1.4975,5.2,1611,0.65,"17"
2.0235,3.8,1611,0.63,"17"
1.72,4.4,1611,0.79,"17"
1.796,2.9,1611,0.74,"17"
0.8305,4,1611,0.82,"17"
1.543,6.2,1611,0.62,"17"
2.091,4.9,1611,0.7,"17"
1.423,3,1611,0.85,"17"
1.6435,3.8,1611,0.72,"17"
1.778,3.5,1611,0.9,"17"
5.4065,28,1611,0.9,"17"
1.986,4.7,1611,0.67,"17"
2.445,3.9,1611,0.87,"17"
2.41,4.6,1611,0.93,"17"
2.2845,5.9,1611,0.73,"17"
2.237,3.9,1611,0.81,"17"
1.8035,3.1,1611,0.8,"17"
1.983,3.2,1611,0.83,"17"
2.359,4,1611,0.84,"17"
1.6885,3.8,1611,0.67,"17"
1.889,4.9,1611,0.8,"17"
2.8985,8.8,1611,0.9,"17"
2.6125,2.7,1611,0.77,"17"
1.9835,6.2,1611,0.73,"17"
2.2085,5.4,1611,0.76,"17"
2.8585,5.2,1611,0.72,"17"
2.1495,6.8,1611,0.86,"17"
1.9375,5.3,1611,0.88,"17"
2.065,3.4,1611,0.83,"17"
2.178,3.6,1611,0.76,"17"
2.962,2.8,1611,0.8,"17"
1.8325,3,1611,0.71,"17"
1.8455,3.1,1611,0.75,"17"
2.8565,3.2,1611,0.67,"17"
2.414,3.9,1611,0.73,"17"
2.339,4.4,1611,0.78,"17"
2.2318,4.2,1611,0.67,"17"
1.8465,3,1611,0.68,"17"
2.654,3.2,1611,0.48,"17"
2.158,4,1611,0.72,"17"
1.6965,4.8,1611,0.48,"17"
1.8965,3.1,1611,0.57,"17"
1.842,3,1611,0.6,"17"
2.5355,4.7,1611,0.67,"17"
2.9505,5.6,1611,0.78,"17"
2.6465,6.4,1611,0.69,"17"
1.6815,6.5,1611,0.63,"17"
1.944,4.5,1611,0.46,"17"
2.1115,3.5,1611,0.39,"17"
1.373,3.7,1611,0.6,"17"
1.457,3,1611,0.87,"17"
3.3945,11,1611,0.76,"17"
2.487,6.8,1611,0.71,"17"
2.172,4.1,1611,0.66,"17"
2.0145,4.2,1611,0.8,"17"
1.823,6.7,1611,0.47,"17"
1.6535,5.8,1611,0.45,"17"
1.9625,4.2,1611,0.34,"17"
1.8005,4.8,1611,0.39,"17"
2.369,6.2,1611,0.55,"17"
3.0615,7.2,1611,0.52,"17"
1.8345,3.2,1611,0.85,"17"
2.372,3.4,1611,0.74,"17"
4.7955,12.5,1611,0.86,"17"
4.023,12.9,1611,0.87,"17"
2.2565,5.3,1611,0.75,"17"
2.6975,6.9,1611,0.76,"17"
2.2665,6.4,1611,0.85,"17"
2.7385,4.8,1611,0.79,"17"
2.819,5.8,1611,0.67,"17"
2.3865,3.6,1611,0.77,"17"
2.702,5.2,1611,0.64,"17"
2.6185,3.3,1611,0.83,"17"
2.821,5.2,1611,0.82,"17"
3.6075,9.6,1611,0.85,"17"
2.4065,6.2,1611,0.74,"17"
2.039,4.2,1611,0.7,"17"
2.096,3.6,1611,0.66,"17"
2.158,4.7,1611,0.65,"17"
3.4115,5.5,1611,0.63,"17"
2.94,6.4,1611,0.86,"17"
1.8085,4.3,1611,0.69,"17"
2.781,5.2,1611,0.7,"17"
2.39,5,1611,0.9,"17"
2.3675,7.4,1611,0.75,"17"
2.256,6.4,1611,0.84,"17"
2.318,4.7,1611,0.69,"17"
2.228,4.7,1611,0.75,"17"
2.7805,8.4,1611,0.72,"17"
5.263,20.4,1611,0.82,"17"
5.12,10.2,1611,0.65,"17"
2.218,10.7,1955,0.73,"21"
2.5375,10.8,1955,0.7,"21"
1.6585,5.9,1955,0.65,"21"
1.096,4.3,1955,0.57,"21"
2.4495,7.2,1955,0.16,"21"
2.5475,16.3,1955,0.6,"21"
2.613,2.7,1955,0.52,"21"
2.4125,16.6,1955,0.41,"21"
1.4285,2.8,1955,0.44,"21"
1.889,8.6,1955,0.38,"21"
2.5545,10.2,1955,0.46,"21"
2.6555,6.1,1955,0.31,"21"
2.6725,11.1,1955,0.41,"21"
2.518,10.3,1955,0.18,"21"
2.3375,9.4,1955,0.46,"21"
2.4655,6.6,1955,0.27,"21"
2.7505,11,1955,0.38,"21"
2.25,6.1,1955,0.46,"21"
1.8095,4.8,1955,0.56,"21"
3.13,14.1,1955,0.48,"21"
2.129,3,1955,0.72,"21"
2.523,9.6,1955,0.65,"21"
2.3295,3.5,1955,0.67,"21"
2.585,5,1955,0.3,"21"
2.465,10.3,1955,0.49,"21"
2.285,15.9,1955,0.67,"21"
2.47,25.1,1955,0.64,"21"
4.945,24.8,1955,0.62,"21"
5.42,33.8,1955,0.75,"21"
3.405,12.6,1955,0.81,"21"
3.725,5.8,1955,0.75,"21"
2.245,14.8,1955,0.77,"21"
4.575,14.2,1955,0.81,"21"
2.88,22,1955,0.36,"21"
2.92,4.3,1955,0.63,"21"
2.425,4.5,1955,0.71,"21"
1.675,4.8,1955,0.65,"21"
2.335,17.4,1955,0.79,"21"
3.21,15.8,1955,0.78,"21"
1.695,19.8,1955,0.6,"21"
1.61,16.8,1955,0.47,"21"
1.32,6,1955,0.54,"21"
1.615,5.2,1955,0.55,"21"
2.77,4.5,1955,0.66,"21"
0.795,8,1955,0.33,"21"
2.35,18,1955,0.66,"21"
2.545,9,1955,0.45,"21"
1.86,9.5,1955,0.73,"21"
1.535,5.9,1955,0.8,"21"
2.615,9.8,1955,0.62,"21"
2.26,6.7,1955,0.77,"21"
2.48,5.9,1955,0.36,"21"
2.57,4.2,1955,0.69,"21"
2.745,6.5,1955,0.44,"21"
2.595,3.1,1955,0.37,"21"
2.775,11,1955,0.64,"21"
3.435,6.5,1955,0.68,"21"
3.68,34.6,1955,0.81,"21"
2.5,16.5,1955,0.63,"21"
1.78,4.9,1955,0.45,"21"
2.26,15.9,1955,0.74,"21"
2.98,13.6,1955,0.46,"21"
2.595,11.1,1955,0.79,"21"
1.64,13.7,1955,0.57,"21"
2.58,5.1,1955,0.77,"21"
3.595,11.4,1955,0.73,"21"
3.655,16.6,1955,0.72,"21"
2.1,10.4,1955,0.57,"21"
2.295,3.1,1955,0.07,"21"
1.34,8.1,1955,0.42,"21"
3.065,8.1,1955,0.37,"21"
2.13,9.8,1955,0.35,"21"
1.71,10.5,1955,0.69,"21"
1.37,4.7,1955,0.18,"21"
2.585,16.5,1955,0.76,"21"
1.085,6.4,1955,0.45,"21"
2.22,11,1955,0.38,"21"
2.68,11.1,1955,0.41,"21"
2.08,11.4,1955,0.44,"21"
1.985,6.8,1955,0.45,"21"
2.13,14,1955,0.54,"21"
2.41,10.4,1955,0.8,"21"
3.29,6.7,1955,0.67,"21"
2.25,8.2,1955,0.78,"21"
1.595,4.3,1955,0.38,"21"
2.24,9.3,1955,0.49,"21"
1.405,8.6,1955,0.45,"21"
2.085,3.2,1955,0.59,"21"
1.56,8.1,1955,0.53,"21"
1.24,4.1,1955,0.27,"21"
1.32,4.1,1955,0.36,"21"
1.52,5.2,1955,0.51,"21"
2.94,11.2,1955,0.53,"21"
3.265,16.9,1955,0.8,"21"
2.075,10.7,1955,0.78,"21"
2.205,6,1955,0.33,"21"
1.4,5.3,1955,0.48,"21"
1.755,10.5,1955,0.67,"21"
1.175,5.2,1955,0.66,"21"
1.715,9.3,1955,0.83,"21"
1.05,2.7,1955,0.58,"21"
2.905,13.1,1955,0.61,"21"
3.59,15,1955,0.72,"21"
2.965,9,1955,0.73,"21"
2.89,8.9,1955,0.78,"21"
3.16,9.7,1955,0.76,"21"
2.14,5.3,1955,0.74,"21"
3.78,10.3,1955,0.73,"21"
3.21,14,1955,0.84,"21"
4.265,18,1955,0.59,"21"
2.445,16.8,1955,0.84,"21"
3.655,9.8,1955,0.8,"21"
3.945,12.1,1955,0.86,"21"
4.025,26,1955,0.8,"21"
3.995,21.8,1955,0.69,"21"
2.24,9.7,1955,0.85,"21"
