agb,plot1,plot2,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101
90.66103891,2,2,0.55767,0.44233,0.389679,0.1944,0.191104,0.1,0.11,0.13,0.17,0.19,0.21,0.26,0.32,0.39,0.46,0.51,0.56,0.74,0.89,1.18,0.42,0.526229,0.647547,0.32,4.381699,0.15,1.58,0.1,0.382834,0.32,0.11,0.15,0.2,0.28,0.31,0.35,0.42,0.49,0.57,0.67,0.73,0.8,0.97,1.12,1.29,1.249167,0.45609,0.247903,0.061456,0.368264,0.242221,0.174626,0.097965,0.051906,0.033823,0.016899,0.011231,0.002808,0.000232,1591.956125,0.055793,35502,38153,39272,40645,40989,41274,41717,42130,42545,42993,43235,43498,44180,44743,45983,29.165966,1141,49981,41778.67993,42051,6037,-2.874591,5433450.586,2330.976316,34990,37890,39059,40492,40880,41180,41637,42051,42472,42919,43168,43430,44116,44675,45875,2246
56.57523066,1,1,0.210279,0.789721,0.112779,0.110881,0.096207,0.1,0.1,0.11,0.12,0.12,0.13,0.15,0.17,0.19,0.23,0.25,0.28,0.42,0.58,0.88,0.3,0.344624,0.733557,0.13,11.344169,0.05,1.39,0.1,0.224107,0.17,0.1,0.11,0.12,0.14,0.16,0.17,0.21,0.25,0.31,0.405,0.46,0.54,0.72,0.87,1.2,2.589551,0.277938,0.164395,0.027026,0.696097,0.166984,0.060581,0.033415,0.021914,0.010776,0.005252,0.001992,0.002083,0.000815,1756.866018,0.059571,36221,38403,39553,40766,41082,41361,41843,42318,42896,43492,43823,44167,44956,45589,46980,30.647228,1357,50211,42142.10885,42222,4819,-2.732072,6302427.565,2510.463616,35723,38218,39332,40638,40974,41263,41741,42222,42777,43384,43710,44076,44873,45494,46851,2741
254.0770339,2,2,0.54267,0.45733,0.373748,0.64861,0.149642,0.1,0.12,0.13,0.18,0.2,0.23,0.29,0.38,0.52,0.82,1.14,1.45,2.07,2.55,3.47,1.69,1.422308,1.06571,0.94,4.739954,0.23,4.58,0.1,0.770397,0.38,0.12,0.21,0.3,0.54,0.68,0.92,1.37,1.64,1.92,2.21,2.37,2.54,3.01,3.45,3.93,1.557823,1.12587,0.821019,0.674073,0.610483,0.118107,0.070793,0.077076,0.054693,0.036179,0.017285,0.009637,0.005009,0.000716,7697.065547,0.26918,13236,23493,28999,35370,37963,39683,41474,42059,42461,42871,43097,43352,44030,44567,45536,4.75724,2219,48569,36467.50687,41552,12,-1.589717,96359962.41,9816.311039,4813,13959,21040,29505,32344,35104,39634,41552,42159,42621,42870,43139,43850,44409,45397,5134
56.36680195,2,2,0.481363,0.518637,0.31365,0.132287,0.084183,0.1,0.11,0.12,0.15,0.16,0.18,0.22,0.26,0.31,0.36,0.39,0.43,0.54,0.64,0.76,0.28,0.384828,0.552992,0.23,6.580182,0.11,2.47,0.1,0.299515,0.26,0.1,0.13,0.16,0.22,0.24,0.27,0.32,0.36,0.42,0.48,0.52,0.55,0.65,0.72,0.83,1.204123,0.34226,0.165629,0.027433,0.652787,0.268839,0.07412,0.003963,0.000065,0.000065,0.000032,0,0,0.000097,1403.391286,0.04464,37116,39489,40559,41947,42387,42705,43164,43510,43809,44091,44243,44408,44911,45369,46279,13.90802,889,50745,43017.06239,43461,9886,-1.826201,3687489.782,1920.283776,36924,39310,40373,41786,42255,42615,43101,43461,43770,44056,44211,44373,44876,45335,46243,1856
116.7631286,2,2,0.515568,0.484432,0.346244,0.258931,0.095285,0.1,0.11,0.13,0.17,0.19,0.22,0.27,0.33,0.39,0.46,0.51,0.58,0.79,1.3,2.22,0.68,0.79111,0.929562,0.32,13.423264,0.15,3.64,0.1,0.43731,0.33,0.11,0.16,0.21,0.3,0.34,0.38,0.46,0.55,0.68,0.84,1.02,1.39,1.95,2.27,2.85,2.898451,0.597065,0.406506,0.165247,0.689377,0.214196,0.040085,0.017179,0.017012,0.012319,0.006592,0.002039,0.000754,0.000419,3213.558177,0.136269,24276,35452,39140,41629,42121,42464,43008,43431,43765,44073,44219,44375,44755,45033,45630,19.284066,1040,47663,41560.41806,43314,101,-3.730615,32074150.07,5663.40446,13204,30654,37143,41058,41759,42216,42841,43314,43678,44009,44169,44326,44714,45003,45602,2098
26.39461384,1,1,0.200216,0.799784,0.10673,0.361,0.10324,0.1,0.1,0.1,0.11,0.12,0.12,0.14,0.15,0.18,0.24,0.29,0.4,1.2,1.79,2.5,1.71,0.932021,1.418662,0.17,8.501467,0.04,2.86,0.1,0.384941,0.15,0.1,0.11,0.13,0.18,0.23,0.32,0.67,1.15,1.46,1.77,1.94,2.13,2.39,2.55,2.72,2.506434,0.668137,0.546101,0.298227,0.791749,0.059,0.021906,0.027382,0.026579,0.020445,0.01548,0.017306,0.014385,0.005769,5153.425275,0.211434,15757,27238,33310,36336,37020,37620,38623,39420,40216,41147,41713,42291,43547,44184,45221,8.195746,2580,49934,36804.14341,38934,57,-2.215455,60553777.36,7781.630765,6192,18456,26580,34927,36025,36788,37978,38934,39754,40681,41232,41875,43301,44049,45095,4693
6.811858177,1,1,0.213664,0.786336,0.114831,0.140128,0.043215,0.1,0.1,0.1,0.11,0.11,0.11,0.12,0.13,0.14,0.16,0.17,0.19,0.32,0.85,1.44,0.86,0.5083,1.247156,0.06,20.053904,0.02,2.75,0.1,0.214519,0.13,0.1,0.1,0.11,0.12,0.13,0.14,0.16,0.21,0.36,0.815,0.99,1.11,1.41,1.56,2.245,3.937367,0.342921,0.267538,0.071577,0.909928,0.024459,0.018688,0.018963,0.016489,0.008382,0.000962,0.000756,0.001237,0.000069,2842.088346,0.139148,21426,34094,35740,36951,37341,37673,38229,38772,39308,39919,40237,40611,41700,42854,44334,19.5603,1503,46333,37710.70876,38575,47,-3.617048,27535079.48,5247.387872,11215,29420,34961,36634,37055,37429,38031,38575,39138,39757,40065,40443,41490,42588,44217,2896
3.205377015,1,1,0.233503,0.766497,0.127039,0.04073,0.023347,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.12,0.13,0.13,0.14,0.15,0.17,0.21,0.68,0.06,0.268669,0.773864,0.03,96.990741,0.02,1.89,0.1,0.141791,0.12,0.1,0.1,0.1,0.11,0.11,0.11,0.12,0.13,0.14,0.15,0.17,0.19,0.49,0.81,1.615,8.645756,0.17929,0.109727,0.01204,0.970828,0.011304,0.006199,0.006053,0.001896,0.000511,0.000875,0.000948,0.000875,0.000438,1398.686343,0.062083,33213,35020,35710,36483,36759,37008,37440,37847,38237,38622,38840,39071,39716,40288,41721,68.924868,1048,44414,37590.40869,37779,13,-5.627594,5446187.216,2333.706754,32490,34850,35586,36392,36676,36925,37361,37779,38169,38562,38781,39009,39669,40216,41651,2081
98.1717025,2,2,0.477132,0.522868,0.309769,0.17029,0.127682,0.1,0.11,0.13,0.16,0.18,0.2,0.24,0.29,0.35,0.41,0.44,0.49,0.62,0.76,1.29,0.34,0.498378,0.67284,0.26,9.278222,0.13,2.03,0.1,0.346426,0.29,0.11,0.14,0.18,0.25,0.28,0.31,0.37,0.43,0.49,0.58,0.62,0.68,0.91,1.24,1.61,2.033247,0.417542,0.233089,0.054331,0.516004,0.280153,0.127468,0.044467,0.012823,0.007746,0.006197,0.003626,0.001319,0.000198,2129.155074,0.091871,33557,37623,38827,40146,40672,41114,41756,42238,42655,43049,43283,43543,44236,44808,45840,40.377033,1293,48536,41379.59363,42126,421,-5.028236,14451913.54,3801.567247,22498,37046,38498,39890,40424,40898,41617,42126,42566,42958,43202,43457,44161,44744,45762,2611
147.4616663,2,2,0.434252,0.565748,0.272114,0.266763,0.139581,0.1,0.11,0.13,0.16,0.18,0.2,0.25,0.3,0.38,0.47,0.52,0.62,0.93,1.27,1.79,0.75,0.70895,0.854338,0.34,7.094817,0.15,2.48,0.1,0.432202,0.3,0.11,0.15,0.2,0.29,0.33,0.38,0.47,0.59,0.76,0.95,1.08,1.22,1.54,1.77,2.14,1.962698,0.568455,0.369247,0.136343,0.551895,0.227188,0.092011,0.05089,0.030728,0.022414,0.013511,0.007379,0.003152,0.000831,3880.109943,0.150204,21842,32455,36258,39689,40678,41233,41962,42528,42987,43375,43553,43738,44199,44598,45396,13.186035,1415,48119,40221.68534,42312,21,-2.937856,36498977.37,6041.438353,12694,27958,33722,38447,39726,40708,41659,42312,42840,43266,43467,43659,44137,44536,45335,2875
