d,h,hdo,den,dhdo,num
21.1,14.8,15.7,1022,331.27,
21.2,14,19.6,789,415.52,
17.1,15.5,18.8,1233,321.48,
14.8,12.7,14.4,1689,213.12,
3.9,5.7,17.2,1778,67.08,
17.8,11.3,16.2,1678,288.36,
17.2,14.4,15.1,1656,259.72,
21,12.4,16.1,689,338.1,
8.5,6.1,14.8,1022,125.8,
8.1,7.8,14,2333,113.4,
11.4,10.8,16.2,1156,184.68,
7.9,5,6.8,767,53.72,
19.9,14.6,16.5,1356,328.35,
15.5,15.2,17.7,2278,274.35,
4.6,4.7,6,1322,27.6,
18,13.8,14.5,978,261,
25.9,14.8,21.2,967,549.08,
8.9,6,15.1,1411,134.39,
6.5,5.5,14.8,1022,96.2,
12.5,8,16.2,1678,202.5,
11.3,13.7,16.3,1556,184.19,
19.8,12,13.1,811,259.38,
4.5,4.4,7.1,1044,31.95,
12.1,11.4,16.3,1556,197.23,
3.3,3.4,4.9,689,16.17,
20.7,15.7,16.6,1467,343.62,
10.2,10.1,17.3,1122,176.46,
5.3,6,14,2333,74.2,
17.8,12.3,14.1,556,250.98,
3.2,3.1,6.1,722,19.52,
18.5,18.7,20.5,722,379.25,
17.7,15.6,16.6,1467,293.82,
8.2,3.6,6.1,722,50.02,
7.5,7.3,14.6,789,109.5,
11.2,11.3,17.2,1778,192.64,
13.9,13.8,16.6,1656,230.74,
14.7,11.2,16.2,1678,238.14,
21.6,17.6,17.7,2278,382.32,
10.5,11.5,16.2,1678,170.1,
24.4,16.6,21.5,1667,524.6,
21.3,12.2,15.8,1522,336.54,
17.5,16.4,20.5,722,358.75,
15.4,11.4,14.4,1689,221.76,
5.6,5.8,6.9,1356,38.64,
10.2,6.2,7.2,1733,73.44,
16.2,11.7,13.9,767,225.18,
11.6,12.1,15.1,1656,175.16,
9.9,5.2,9.7,1644,96.03,
16.8,11.7,22.4,867,376.32,
14.5,13.3,15.1,1411,218.95,
2.2,2,6.1,722,13.42,
14.3,14.8,21.5,1667,307.45,
12.2,6,16.2,1156,197.64,
10,6.5,6.9,1356,69,
20.1,15.6,18.8,1233,377.88,
5.3,4.6,10.4,500,55.12,
12.2,8,13.1,811,159.82,
16.6,12.3,16.2,1156,268.92,
10.1,8.1,14,2333,141.4,
17.8,14.2,15.1,1411,268.78,
5.5,5.4,7.2,1733,39.6,
5.1,6.6,6.2,1311,31.62,
13.6,9.3,14.8,1967,201.28,
19.4,12.4,16.6,1656,322.04,
18.5,16.3,21.5,1667,397.75,
6.1,4.3,4.9,689,29.89,
20.6,12.1,14.4,1689,296.64,
8,5.1,6.8,767,54.4,
8.9,6.6,9.7,1644,86.33,
9.1,8.5,15.1,1411,137.41,
16.1,14.8,16.6,1467,267.26,
17.1,12.3,15.8,1522,270.18,
14.4,10.7,16.2,1678,233.28,
12.3,11.9,14.5,978,178.35,
5.3,4.2,15.1,1411,80.03,
23.7,15.8,21.5,1667,509.55,
5.7,4.8,14.8,1022,84.36,
13.5,11.5,14.5,978,195.75,
19.5,13.1,15.1,1411,294.45,
4.5,5.7,15.8,1522,71.1,
23.6,11.1,13.9,767,328.04,
4,5,5.7,533,22.8,
15.1,12.4,15.1,1067,228.01,
13,17.6,21.5,1667,279.5,
12.1,6.1,17.7,2278,214.17,
25.5,18.3,22.4,867,571.2,
18.6,15.3,16.6,1467,308.76,
14.3,11.7,16.2,1678,231.66,
9.5,5.6,6.8,767,64.6,
13.8,12.6,16.1,1656,222.18,
8.6,9.3,14.8,1967,127.28,
5.4,4.3,9.7,1644,52.38,
15.6,13.1,16.2,1156,252.72,
28.2,16.5,22.4,867,631.68,
14.9,12.6,14.8,1967,220.52,
11.6,10.1,13.2,2122,153.12,
10,6.8,7.2,1733,72,
14.5,13.2,14.1,556,204.45,
13.4,9.5,16.2,1678,217.08,
11,13.7,15.1,1656,166.1,
13.4,10.9,17.3,1122,231.82,
9.7,11.2,16.3,1556,158.11,
4.1,2.6,6,1322,24.6,
16.7,14.4,16.5,1356,275.55,
24,17.9,22.4,867,537.6,
3.8,2.7,6.8,767,25.84,
18.4,11.8,14.8,1967,272.32,
13.7,11.9,15.1,1411,206.87,
2.9,1.9,6.1,722,17.69,
7.5,6.2,16.6,1656,124.5,
23.1,14.1,17.2,1778,397.32,
17.3,12.9,14.4,1689,249.12,
31.7,18.3,22.4,867,710.08,
14.5,12.4,17.3,1122,250.85,
9.5,5.4,6.4,911,60.8,
6.4,4.3,6.9,1356,44.16,
11.7,7.3,14,2333,163.8,
8,7,14.4,1689,115.2,
3.9,4.2,5.4,1133,21.06,
12,7.9,13.4,778,160.8,
14.5,9.9,16.2,1678,234.9,
9.2,7.9,14.8,1022,136.16,
2.4,2.2,15,1956,36,
22.7,15,18.8,1233,426.76,
21.2,14,16.1,689,341.32,
14.9,11.1,14.8,1967,220.52,
9.8,9.2,21.5,1667,210.7,
5.6,4.1,10.1,1522,56.56,
16.9,14.3,14.8,1022,250.12,
9.2,12.1,14.8,1967,136.16,
8.8,4.9,7.2,1733,63.36,
17.5,17.2,20.3,1011,355.25,
15.8,15.5,15.8,1522,249.64,
2.6,2.4,6,600,15.6,
