d,h,hdo,den,dhdo,num
29.6,11.6,19.6,789,580.16,
10.4,7.2,14,2333,145.6,
9.8,9.7,17.3,1122,169.54,
23.8,20,20.3,1011,483.14,
5.5,4.4,6,1322,33,
14.9,10.5,14.8,1967,220.52,
21.8,13.2,18.8,1233,409.84,
8.6,6.2,7.2,1733,61.92,
20.1,15.6,16.6,1656,333.66,
3.6,3.5,4.9,689,17.64,
5.4,3.4,6.9,1356,37.26,
17.5,15.9,17.3,1122,302.75,
3.1,3.5,4.9,689,15.19,
5.6,5.5,7.2,1733,40.32,
8.2,5.7,10.1,1522,82.82,
5.6,3.7,6,1322,33.6,
11,9.6,14.8,1967,162.8,
3.9,3.4,15,1956,58.5,
10.8,9.9,13.2,2122,142.56,
8.8,6.5,10.1,1522,88.88,
16.7,17.3,16.1,1656,268.87,
24.5,14.8,21.5,1667,526.75,
25.6,18.7,20.3,1011,519.68,
8,7,7.1,1044,56.8,
14,13,14.4,1689,201.6,
17,12.7,15.8,1522,268.6,
4.8,4.2,7.2,1733,34.56,
18.6,15.6,18.8,1233,349.68,
18.8,10.9,16.2,1678,304.56,
14.5,12.6,16.5,1356,239.25,
17.3,15.1,17.2,1778,297.56,
12.3,6.6,9.7,1644,119.31,
16.8,11.7,14.4,1689,241.92,
29,16.7,21.2,967,614.8,
14.3,11.3,14.4,1689,205.92,
4.3,4.4,7.8,989,33.54,
20.8,13.3,14.5,978,301.6,
19.2,14.2,15.1,1656,289.92,
13.9,11.6,14.8,1967,205.72,
7.5,4.3,5.4,1133,40.5,
21.3,17.5,17.7,889,377.01,
5,3.4,5.4,1133,27,
3.1,2.8,6,1322,18.6,
16.4,13,16.1,1656,264.04,
21.5,15.2,16.5,1356,354.75,
20.1,16.9,18.8,1233,377.88,
16.6,10.6,16.2,1678,268.92,
5.1,5.5,15.8,1522,80.58,
15.1,9.9,13.9,767,209.89,
18.8,12.2,20.5,722,385.4,
17.8,15.4,17.7,2278,315.06,
18.3,14.7,16.5,1356,301.95,
21.2,13.2,16.2,1156,343.44,
18.8,12.7,15.1,1656,283.88,
17.7,14.5,14.8,1967,261.96,
27.8,17.9,22.4,867,622.72,
14.2,12.3,16.1,689,228.62,
15.6,9.6,15.1,1067,235.56,
17.9,14.5,16.6,1467,297.14,
22.3,16.7,20.3,1011,452.69,
16.7,14,17.7,889,295.59,
7.6,5,6.1,722,46.36,
17.6,12.7,14.4,1689,253.44,
10.4,11.7,16.2,1156,168.48,
4.7,6.4,14,2333,65.8,
30.1,17,17.7,889,532.77,
22.7,11.4,17.3,1122,392.71,
12.2,12.5,16.2,1678,197.64,
18.6,12.7,17.3,1122,321.78,
28.2,20.4,21.2,967,597.84,
12.1,11.8,16.3,1556,197.23,
7.5,5.3,7.2,1733,54,
19.4,13,13.9,767,269.66,
12.3,11.9,15.1,1656,185.73,
5.5,8.6,14,2333,77,
24.4,16.7,20.5,722,500.2,
13.1,7.5,7.8,989,102.18,
15.2,13,16.3,1556,247.76,
8.3,4.9,6.1,722,50.63,
8,4.4,5.7,533,45.6,
5,3.4,5.4,1133,27,
23.5,14.1,15.1,1411,354.85,
18.7,13.2,16.5,1356,308.55,
12.3,5,14,2333,172.2,
7,5.6,6.9,1356,48.3,
14.2,13,15.8,1522,224.36,
17.1,9.9,16.2,1678,277.02,
7.7,6.1,10.1,1522,77.77,
3.4,3.3,6,600,20.4,
14.7,13.9,14.4,1689,211.68,
16.9,16.6,21.5,1667,363.35,
11.4,14,16.2,1678,184.68,
17.7,11.9,13.2,2122,233.64,
19.1,12.5,14.8,1022,282.68,
16.1,11.4,13.2,2122,212.52,
6.1,7.4,13.2,2122,80.52,
13.1,11.1,14.4,1689,188.64,
22,17.4,20.3,1011,446.6,
7.1,7.9,14,2333,99.4,
14.4,12.5,16.2,1678,233.28,
13.4,10.4,17.3,1122,231.82,
18.6,12,14.4,1689,267.84,
19.7,11.7,14.8,1967,291.56,
6.6,4,6.9,1356,45.54,
18.1,18.4,18.8,1233,340.28,
16.4,12.3,16.1,1656,264.04,
18.1,12.7,18.8,1233,340.28,
16.1,13.3,14.4,1689,231.84,
5.6,4,6,600,33.6,
3.8,3.9,7.1,1044,26.98,
18.5,12.5,15.8,1522,292.3,
7.3,6.3,10.1,1522,73.73,
11.5,10.2,16.2,1156,186.3,
15.6,11.9,14.8,1022,230.88,
15.6,15.9,16.6,1467,258.96,
21.3,14.9,16.5,1356,351.45,
5.5,3.8,5.4,1133,29.7,
5.4,5.6,6.4,911,34.56,
15.6,14.3,18.8,1233,293.28,
10.2,17.2,20.3,1011,207.06,
19.3,13.7,16.2,1678,312.66,
3.3,2.7,4.9,689,16.17,
22.7,15.5,16.3,1556,370.01,
8,7.6,16.6,1656,132.8,
16.3,7.3,7.8,989,127.14,
19.2,17.5,22.4,867,430.08,
13.9,12,17.3,1122,240.47,
15.6,15.1,14.5,978,226.2,
4.4,4.2,13.9,767,61.16,
13.1,10.3,14.5,978,189.95,
7,6.2,16.6,1656,116.2,
16.1,12.9,22.4,867,360.64,
8,5.1,6.9,1356,55.2,
15.4,12.9,16.5,1356,254.1,
20,13.1,14.8,1967,296,
16.7,11.6,15.1,1067,252.17,
13.4,8.6,14,2333,187.6,
5.8,5.2,4.9,689,28.42,
18.8,14.1,16.5,1356,310.2,
18.1,12.4,16.2,1156,293.22,
17.3,14.4,21.2,967,366.76,
16.3,15.1,16.6,1467,270.58,
19.7,13.6,15.1,1067,297.47,
23.4,19.3,22.4,867,524.16,
6.8,4.3,6.9,1356,46.92,
16.7,16.7,17.7,889,295.59,
13.6,6.8,7.8,989,106.08,
